"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","159","p0ant7uvweh","hard","badger","","","","","",""
"true","","","","","fullscreen","1","2.1.0","3016","p0ant7uvweh","hard","badger","1854","","","","",""
"","","","","","survey-text","2","2.1.0","6128","p0ant7uvweh","hard","badger","3110","{""participant_id"":""badger""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","11839","p0ant7uvweh","hard","badger","5709"," ","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","12340","p0ant7uvweh","hard","badger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","12843","p0ant7uvweh","hard","badger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","17585","p0ant7uvweh","hard","badger","2737","a","stimuli/experiment1a/low_A_000.png","low","A","true"
"","","","","","html-keyboard-response","7","2.1.0","18088","p0ant7uvweh","hard","badger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","8","2.1.0","18591","p0ant7uvweh","hard","badger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","9","2.1.0","24205","p0ant7uvweh","hard","badger","3611","a","stimuli/experiment1a/low_A_001.png","low","A","true"
"","","","","","html-keyboard-response","10","2.1.0","24708","p0ant7uvweh","hard","badger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","11","2.1.0","25209","p0ant7uvweh","hard","badger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","12","2.1.0","28349","p0ant7uvweh","hard","badger","1137","b","stimuli/experiment1a/low_B_111.png","low","B","true"
"","","","","","html-keyboard-response","13","2.1.0","28852","p0ant7uvweh","hard","badger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","14","2.1.0","29353","p0ant7uvweh","hard","badger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","15","2.1.0","32004","p0ant7uvweh","hard","badger","648","b","stimuli/experiment1a/low_B_111.png","low","B","true"
"","","","","","html-keyboard-response","16","2.1.0","32507","p0ant7uvweh","hard","badger","null","null","<div style=""font-size:60px;"">+</div>","","",""
