"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","104","p1902plwm5c","hard2","lemur","","","","","",""
"true","","","","","fullscreen","1","2.1.0","649298","p1902plwm5c","hard2","lemur","648191","","","","",""
"","","","","","survey-text","2","2.1.0","651120","p1902plwm5c","hard2","lemur","1819","{""participant_id"":""lemur""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","694308","p1902plwm5c","hard2","lemur","43187"," ","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","694811","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","695315","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","702538","p1902plwm5c","hard2","lemur","5220","a","stimuli/experiment1a/low_B_111.png","low","A","true"
"","","","","","html-keyboard-response","7","2.1.0","703043","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","8","2.1.0","703545","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","9","2.1.0","706611","p1902plwm5c","hard2","lemur","1061","a","stimuli/experiment1a/low_B_101.png","low","A","true"
"","","","","","html-keyboard-response","10","2.1.0","707114","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","11","2.1.0","707615","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","12","2.1.0","710691","p1902plwm5c","hard2","lemur","1072","b","stimuli/experiment1a/low_A_000.png","low","B","true"
"","","","","","html-keyboard-response","13","2.1.0","711194","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","14","2.1.0","711697","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","15","2.1.0","715362","p1902plwm5c","hard2","lemur","1661","b","stimuli/experiment1a/low_B_110.png","low","A","false"
"","","","","","html-keyboard-response","16","2.1.0","715865","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","17","2.1.0","718821","p1902plwm5c","hard2","lemur","954","a","stimuli/experiment1a/low_B_110.png","low","A","true"
"","","","","","html-keyboard-response","18","2.1.0","719324","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","19","2.1.0","719826","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","20","2.1.0","722910","p1902plwm5c","hard2","lemur","1080","a","stimuli/experiment1a/low_A_010.png","low","B","false"
"","","","","","html-keyboard-response","21","2.1.0","723414","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","22","2.1.0","726102","p1902plwm5c","hard2","lemur","685","b","stimuli/experiment1a/low_A_010.png","low","B","true"
"","","","","","html-keyboard-response","23","2.1.0","726605","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","24","2.1.0","727106","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","25","2.1.0","730703","p1902plwm5c","hard2","lemur","1594","a","stimuli/experiment1a/low_B_111.png","low","A","true"
"","","","","","html-keyboard-response","26","2.1.0","731206","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","27","2.1.0","731708","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","28","2.1.0","734572","p1902plwm5c","hard2","lemur","860","b","stimuli/experiment1a/low_A_001.png","low","B","true"
"","","","","","html-keyboard-response","29","2.1.0","735075","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","30","2.1.0","735577","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","31","2.1.0","738437","p1902plwm5c","hard2","lemur","855","b","stimuli/experiment1a/low_A_000.png","low","B","true"
"","","","","","image-keyboard-response","32","null","740759","p1902plwm5c","hard2","lemur","2315","q","stimuli/experiment_check.webp","","",""
"","","","","","html-keyboard-response","33","2.1.0","742762","p1902plwm5c","hard2","lemur","null","null","<p>Fluffy blesses you. Good job!</p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","34","2.1.0","743062","p1902plwm5c","hard2","lemur","299","b","<p><strong>TEST BLOCK 1 FINISHED</strong></p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","35","2.1.0","743563","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","36","2.1.0","744066","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","37","2.1.0","747304","p1902plwm5c","hard2","lemur","1235","a","stimuli/experiment1a/low_A_010.png","low","B","false"
"","","","","","html-keyboard-response","38","2.1.0","747807","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","39","2.1.0","750283","p1902plwm5c","hard2","lemur","472","b","stimuli/experiment1a/low_A_010.png","low","B","true"
"","","","","","html-keyboard-response","40","2.1.0","750787","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","41","2.1.0","751288","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","42","2.1.0","754129","p1902plwm5c","hard2","lemur","837","b","stimuli/experiment1a/low_A_000.png","low","B","true"
"","","","","","html-keyboard-response","43","2.1.0","754632","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","44","2.1.0","755134","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","45","2.1.0","758068","p1902plwm5c","hard2","lemur","931","a","stimuli/experiment1a/low_B_111.png","low","A","true"
"","","","","","html-keyboard-response","46","2.1.0","758571","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","47","2.1.0","759073","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","48","2.1.0","763196","p1902plwm5c","hard2","lemur","2120","b","stimuli/experiment1a/low_B_110.png","low","A","false"
"","","","","","html-keyboard-response","49","2.1.0","763699","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","50","2.1.0","766025","p1902plwm5c","hard2","lemur","322","a","stimuli/experiment1a/low_B_110.png","low","A","true"
"","","","","","html-keyboard-response","51","2.1.0","766527","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","52","2.1.0","767030","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","53","2.1.0","769795","p1902plwm5c","hard2","lemur","762","b","stimuli/experiment1a/low_A_000.png","low","B","true"
"","","","","","html-keyboard-response","54","2.1.0","770298","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","55","2.1.0","770800","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","56","2.1.0","773531","p1902plwm5c","hard2","lemur","728","a","stimuli/experiment1a/low_B_111.png","low","A","true"
"","","","","","html-keyboard-response","57","2.1.0","774035","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","58","2.1.0","774536","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","59","2.1.0","777139","p1902plwm5c","hard2","lemur","600","b","stimuli/experiment1a/low_A_001.png","low","B","true"
"","","","","","html-keyboard-response","60","2.1.0","777641","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","61","2.1.0","778143","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","62","2.1.0","782236","p1902plwm5c","hard2","lemur","2090","a","stimuli/experiment1a/low_B_101.png","low","A","true"
"","","","","","image-keyboard-response","63","null","784454","p1902plwm5c","hard2","lemur","2216","q","stimuli/experiment_check.webp","","",""
"","","","","","html-keyboard-response","64","2.1.0","786457","p1902plwm5c","hard2","lemur","null","null","<p>Fluffy blesses you. Good job!</p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","65","2.1.0","789935","p1902plwm5c","hard2","lemur","3477"," ","<p><strong>TEST BLOCK 2 FINISHED</strong></p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","66","2.1.0","790437","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","67","2.1.0","790939","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","68","2.1.0","795029","p1902plwm5c","hard2","lemur","2086","b","stimuli/experiment1a/low_A_000.png","low","B","true"
"","","","","","html-keyboard-response","69","2.1.0","795532","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","70","2.1.0","796034","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","71","2.1.0","798592","p1902plwm5c","hard2","lemur","553","a","stimuli/experiment1a/low_B_101.png","low","A","true"
"","","","","","html-keyboard-response","72","2.1.0","799095","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","73","2.1.0","799596","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","74","2.1.0","802366","p1902plwm5c","hard2","lemur","766","a","stimuli/experiment1a/low_B_111.png","low","A","true"
"","","","","","html-keyboard-response","75","2.1.0","802869","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","76","2.1.0","803371","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","77","2.1.0","806443","p1902plwm5c","hard2","lemur","1069","a","stimuli/experiment1a/low_B_110.png","low","A","true"
"","","","","","html-keyboard-response","78","2.1.0","806946","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","79","2.1.0","807448","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","80","2.1.0","810072","p1902plwm5c","hard2","lemur","620","b","stimuli/experiment1a/low_A_001.png","low","B","true"
"","","","","","html-keyboard-response","81","2.1.0","810575","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","82","2.1.0","811077","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","83","2.1.0","813633","p1902plwm5c","hard2","lemur","552","a","stimuli/experiment1a/low_B_111.png","low","A","true"
"","","","","","html-keyboard-response","84","2.1.0","814135","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","85","2.1.0","814636","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","86","2.1.0","817134","p1902plwm5c","hard2","lemur","495","a","stimuli/experiment1a/low_A_010.png","low","B","false"
"","","","","","html-keyboard-response","87","2.1.0","817635","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","88","2.1.0","819895","p1902plwm5c","hard2","lemur","258","b","stimuli/experiment1a/low_A_010.png","low","B","true"
"","","","","","html-keyboard-response","89","2.1.0","820398","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","90","2.1.0","820900","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","91","2.1.0","823524","p1902plwm5c","hard2","lemur","620","a","stimuli/experiment1a/low_A_000.png","low","B","false"
"","","","","","html-keyboard-response","92","2.1.0","824027","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","93","2.1.0","826285","p1902plwm5c","hard2","lemur","254","b","stimuli/experiment1a/low_A_000.png","low","B","true"
"","","","","","image-keyboard-response","94","null","827288","p1902plwm5c","hard2","lemur","1000","q","stimuli/experiment_check.webp","","",""
"","","","","","html-keyboard-response","95","2.1.0","829125","p1902plwm5c","hard2","lemur","1837","a","<p>Fluffy blesses you. Good job!</p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","96","2.1.0","830022","p1902plwm5c","hard2","lemur","896","a","<p><strong>TEST BLOCK 3 FINISHED</strong></p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","97","2.1.0","830523","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","98","2.1.0","831026","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","99","2.1.0","836488","p1902plwm5c","hard2","lemur","3458","a","stimuli/experiment1a/low_A_010.png","low","B","false"
"","","","","","html-keyboard-response","100","2.1.0","836990","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","101","2.1.0","839267","p1902plwm5c","hard2","lemur","273","b","stimuli/experiment1a/low_A_010.png","low","B","true"
"","","","","","html-keyboard-response","102","2.1.0","839770","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","103","2.1.0","840272","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","104","2.1.0","843311","p1902plwm5c","hard2","lemur","1035","b","stimuli/experiment1a/low_A_001.png","low","B","true"
"","","","","","html-keyboard-response","105","2.1.0","843813","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","106","2.1.0","844315","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","107","2.1.0","846861","p1902plwm5c","hard2","lemur","541","a","stimuli/experiment1a/low_B_101.png","low","A","true"
"","","","","","html-keyboard-response","108","2.1.0","847363","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","109","2.1.0","847865","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","110","2.1.0","850609","p1902plwm5c","hard2","lemur","741","b","stimuli/experiment1a/low_A_000.png","low","B","true"
"","","","","","html-keyboard-response","111","2.1.0","851112","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","112","2.1.0","851615","p1902plwm5c","hard2","lemur","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","113","2.1.0","854329","p1902plwm5c","hard2","lemur","711","a","stimuli/experiment1a/low_B_110.png","low","A","true"
