"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","168","p205y44hp57","hard","hamster","","","","","",""
"true","","","","","fullscreen","1","2.1.0","3312","p205y44hp57","hard","hamster","2138","","","","",""
"","","","","","survey-text","2","2.1.0","7950","p205y44hp57","hard","hamster","4632","{""participant_id"":""hamster""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","17840","p205y44hp57","hard","hamster","9887","Enter","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","18349","p205y44hp57","hard","hamster","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","18851","p205y44hp57","hard","hamster","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","26680","p205y44hp57","hard","hamster","5816","A","stimuli/experiment1a/low_A_010.png","low","A","true"
"","","","","","html-keyboard-response","7","2.1.0","27184","p205y44hp57","hard","hamster","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","8","2.1.0","27698","p205y44hp57","hard","hamster","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","9","2.1.0","33005","p205y44hp57","hard","hamster","3301","b","stimuli/experiment1a/low_B_111.png","low","B","true"
"","","","","","html-keyboard-response","10","2.1.0","33510","p205y44hp57","hard","hamster","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","11","2.1.0","34028","p205y44hp57","hard","hamster","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","12","2.1.0","39292","p205y44hp57","hard","hamster","3250","a","stimuli/experiment1a/low_A_000.png","low","A","true"
"","","","","","html-keyboard-response","13","2.1.0","39797","p205y44hp57","hard","hamster","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","14","2.1.0","40314","p205y44hp57","hard","hamster","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","15","2.1.0","44653","p205y44hp57","hard","hamster","2324","b","stimuli/experiment1a/low_A_001.png","low","A","false"
"","","","","","html-keyboard-response","16","2.1.0","45160","p205y44hp57","hard","hamster","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","17","2.1.0","47952","p205y44hp57","hard","hamster","789","a","stimuli/experiment1a/low_A_001.png","low","A","true"
"","","","","","html-keyboard-response","18","2.1.0","48461","p205y44hp57","hard","hamster","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","19","2.1.0","48977","p205y44hp57","hard","hamster","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","20","2.1.0","54134","p205y44hp57","hard","hamster","3141","b","stimuli/experiment1a/low_B_101.png","low","B","true"
"","","","","","html-keyboard-response","21","2.1.0","54641","p205y44hp57","hard","hamster","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","22","2.1.0","55145","p205y44hp57","hard","hamster","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","23","2.1.0","59040","p205y44hp57","hard","hamster","1884","a","stimuli/experiment1a/low_B_110.png","low","B","false"
"","","","","","html-keyboard-response","24","2.1.0","59543","p205y44hp57","hard","hamster","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","25","2.1.0","61925","p205y44hp57","hard","hamster","365","b","stimuli/experiment1a/low_B_110.png","low","B","true"
"","","","","","html-keyboard-response","26","2.1.0","62428","p205y44hp57","hard","hamster","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","27","2.1.0","62939","p205y44hp57","hard","hamster","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","28","2.1.0","65665","p205y44hp57","hard","hamster","719","a","stimuli/experiment1a/low_A_000.png","low","A","true"
"","","","","","html-keyboard-response","29","2.1.0","66168","p205y44hp57","hard","hamster","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","30","2.1.0","66685","p205y44hp57","hard","hamster","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","31","2.1.0","69329","p205y44hp57","hard","hamster","624","b","stimuli/experiment1a/low_B_111.png","low","B","true"
"","","","","","image-keyboard-response","32","null","72251","p205y44hp57","hard","hamster","2915","Q","stimuli/experiment_check.webp","","",""
"","","","","","html-keyboard-response","33","2.1.0","74258","p205y44hp57","hard","hamster","null","null","<p>Fluffy is angered. Make sure to focus!</p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","34","2.1.0","77310","p205y44hp57","hard","hamster","3051"," ","<p><strong>TEST BLOCK 1 FINISHED</strong></p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","35","2.1.0","77816","p205y44hp57","hard","hamster","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","36","2.1.0","78325","p205y44hp57","hard","hamster","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","37","2.1.0","82914","p205y44hp57","hard","hamster","2584","b","stimuli/experiment1a/low_B_101.png","low","B","true"
"","","","","","html-keyboard-response","38","2.1.0","83416","p205y44hp57","hard","hamster","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","39","2.1.0","83920","p205y44hp57","hard","hamster","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","40","2.1.0","86474","p205y44hp57","hard","hamster","550","a","stimuli/experiment1a/low_A_010.png","low","A","true"
"","","","","","html-keyboard-response","41","2.1.0","86982","p205y44hp57","hard","hamster","null","null","<div style=""font-size:60px;"">+</div>","","",""
