"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","108","p595fmabbjw","easy","chipmunk","","","","","",""
"true","","","","","fullscreen","1","2.1.0","70852","p595fmabbjw","easy","chipmunk","69731","","","","",""
"","","","","","survey-text","2","2.1.0","73890","p595fmabbjw","easy","chipmunk","3034","{""participant_id"":""chipmunk""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","84780","p595fmabbjw","easy","chipmunk","10889","f","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","85287","p595fmabbjw","easy","chipmunk","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","85800","p595fmabbjw","easy","chipmunk","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","94418","p595fmabbjw","easy","chipmunk","6614","b","stimuli/experiment1a/high_A_000.png","high","A","false"
"","","","","","html-keyboard-response","7","2.1.0","94919","p595fmabbjw","easy","chipmunk","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","8","2.1.0","99083","p595fmabbjw","easy","chipmunk","2161","a","stimuli/experiment1a/high_A_000.png","high","A","true"
"","","","","","html-keyboard-response","9","2.1.0","99598","p595fmabbjw","easy","chipmunk","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","10","2.1.0","100112","p595fmabbjw","easy","chipmunk","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","11","2.1.0","103500","p595fmabbjw","easy","chipmunk","1376","b","stimuli/experiment1a/high_B_101.png","high","B","true"
"","","","","","html-keyboard-response","12","2.1.0","104013","p595fmabbjw","easy","chipmunk","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","13","2.1.0","104528","p595fmabbjw","easy","chipmunk","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","14","2.1.0","109550","p595fmabbjw","easy","chipmunk","3020","a","stimuli/experiment1a/high_A_010.png","high","A","true"
"","","","","","html-keyboard-response","15","2.1.0","110052","p595fmabbjw","easy","chipmunk","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","16","2.1.0","110566","p595fmabbjw","easy","chipmunk","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","17","2.1.0","113313","p595fmabbjw","easy","chipmunk","734","b","stimuli/experiment1a/high_B_110.png","high","B","true"
"","","","","","html-keyboard-response","18","2.1.0","113826","p595fmabbjw","easy","chipmunk","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","19","2.1.0","114342","p595fmabbjw","easy","chipmunk","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","20","2.1.0","116975","p595fmabbjw","easy","chipmunk","623","b","stimuli/experiment1a/high_B_111.png","high","B","true"
"","","","","","html-keyboard-response","21","2.1.0","117492","p595fmabbjw","easy","chipmunk","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","22","2.1.0","117993","p595fmabbjw","easy","chipmunk","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","23","2.1.0","120598","p595fmabbjw","easy","chipmunk","599","a","stimuli/experiment1a/high_A_001.png","high","A","true"
"","","","","","html-keyboard-response","24","2.1.0","121110","p595fmabbjw","easy","chipmunk","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","25","2.1.0","121623","p595fmabbjw","easy","chipmunk","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","26","2.1.0","124369","p595fmabbjw","easy","chipmunk","737","a","stimuli/experiment1a/high_A_000.png","high","A","true"
"","","","","","html-keyboard-response","27","2.1.0","124882","p595fmabbjw","easy","chipmunk","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","28","2.1.0","125397","p595fmabbjw","easy","chipmunk","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","29","2.1.0","127952","p595fmabbjw","easy","chipmunk","547","b","stimuli/experiment1a/high_B_111.png","high","B","true"
"","","","","","image-keyboard-response","30","null","130078","p595fmabbjw","easy","chipmunk","2121","q","stimuli/experiment_check.webp","","",""
"","","","","","html-keyboard-response","31","2.1.0","132089","p595fmabbjw","easy","chipmunk","null","null","<p>Fluffy blesses you. Good job!</p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","32","2.1.0","134329","p595fmabbjw","easy","chipmunk","2239","i","<p><strong>TEST BLOCK 1 FINISHED</strong></p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","33","2.1.0","134843","p595fmabbjw","easy","chipmunk","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","34","2.1.0","135357","p595fmabbjw","easy","chipmunk","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","35","2.1.0","138170","p595fmabbjw","easy","chipmunk","800","b","stimuli/experiment1a/high_B_111.png","high","B","true"
"","","","","","html-keyboard-response","36","2.1.0","138683","p595fmabbjw","easy","chipmunk","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","37","2.1.0","139198","p595fmabbjw","easy","chipmunk","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","38","2.1.0","141678","p595fmabbjw","easy","chipmunk","470","a","stimuli/experiment1a/high_A_000.png","high","A","true"
