"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","69","p88u8j4kmwk","easy","giraffe","","","","","",""
"true","","","","","fullscreen","1","2.1.0","2947","p88u8j4kmwk","easy","giraffe","1872","","","","",""
"","","","","","survey-text","2","2.1.0","7778","p88u8j4kmwk","easy","giraffe","4826","{""participant_id"":""giraffe""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","16732","p88u8j4kmwk","easy","giraffe","8953","Enter","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","17236","p88u8j4kmwk","easy","giraffe","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","17753","p88u8j4kmwk","easy","giraffe","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","21917","p88u8j4kmwk","easy","giraffe","2143","a","stimuli/experiment1a/high_A_010.png","high","A","true"
"","","","","","html-keyboard-response","7","2.1.0","22433","p88u8j4kmwk","easy","giraffe","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","8","2.1.0","22950","p88u8j4kmwk","easy","giraffe","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","9","2.1.0","26486","p88u8j4kmwk","easy","giraffe","1520","a","stimuli/experiment1a/high_B_110.png","high","B","false"
"","","","","","html-keyboard-response","10","2.1.0","26988","p88u8j4kmwk","easy","giraffe","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","11","2.1.0","30264","p88u8j4kmwk","easy","giraffe","1258","b","stimuli/experiment1a/high_B_110.png","high","B","true"
"","","","","","html-keyboard-response","12","2.1.0","30772","p88u8j4kmwk","easy","giraffe","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","13","2.1.0","31274","p88u8j4kmwk","easy","giraffe","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","14","2.1.0","34825","p88u8j4kmwk","easy","giraffe","1532","b","stimuli/experiment1a/high_B_101.png","high","B","true"
"","","","","","html-keyboard-response","15","2.1.0","35340","p88u8j4kmwk","easy","giraffe","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","16","2.1.0","35842","p88u8j4kmwk","easy","giraffe","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","17","2.1.0","39778","p88u8j4kmwk","easy","giraffe","1933","a","stimuli/experiment1a/high_A_000.png","high","A","true"
"","","","","","html-keyboard-response","18","2.1.0","40295","p88u8j4kmwk","easy","giraffe","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","19","2.1.0","40812","p88u8j4kmwk","easy","giraffe","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","20","2.1.0","43778","p88u8j4kmwk","easy","giraffe","961","b","stimuli/experiment1a/high_B_111.png","high","B","true"
"","","","","","html-keyboard-response","21","2.1.0","44281","p88u8j4kmwk","easy","giraffe","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","22","2.1.0","44784","p88u8j4kmwk","easy","giraffe","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","23","2.1.0","47535","p88u8j4kmwk","easy","giraffe","743","a","stimuli/experiment1a/high_A_000.png","high","A","true"
"","","","","","html-keyboard-response","24","2.1.0","48049","p88u8j4kmwk","easy","giraffe","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","25","2.1.0","48558","p88u8j4kmwk","easy","giraffe","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","26","2.1.0","51331","p88u8j4kmwk","easy","giraffe","769","b","stimuli/experiment1a/high_B_111.png","high","B","true"
"","","","","","html-keyboard-response","27","2.1.0","51833","p88u8j4kmwk","easy","giraffe","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","28","2.1.0","52350","p88u8j4kmwk","easy","giraffe","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","29","2.1.0","55236","p88u8j4kmwk","easy","giraffe","872","a","stimuli/experiment1a/high_A_001.png","high","A","true"
"","","","","","image-keyboard-response","30","null","57154","p88u8j4kmwk","easy","giraffe","1914","q","stimuli/experiment_check.webp","","",""
"","","","","","html-keyboard-response","31","2.1.0","59162","p88u8j4kmwk","easy","giraffe","null","null","<p>Fluffy blesses you. Good job!</p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","32","2.1.0","59217","p88u8j4kmwk","easy","giraffe","53","b","<p><strong>TEST BLOCK 1 FINISHED</strong></p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","33","2.1.0","59727","p88u8j4kmwk","easy","giraffe","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","34","2.1.0","60239","p88u8j4kmwk","easy","giraffe","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","35","2.1.0","63284","p88u8j4kmwk","easy","giraffe","1040","b","stimuli/experiment1a/high_B_111.png","high","B","true"
"","","","","","html-keyboard-response","36","2.1.0","63791","p88u8j4kmwk","easy","giraffe","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","37","2.1.0","64308","p88u8j4kmwk","easy","giraffe","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","38","2.1.0","66909","p88u8j4kmwk","easy","giraffe","595","b","stimuli/experiment1a/high_B_111.png","high","B","true"
"","","","","","html-keyboard-response","39","2.1.0","67413","p88u8j4kmwk","easy","giraffe","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","40","2.1.0","67928","p88u8j4kmwk","easy","giraffe","null","null","<div style=""font-size:60px;"">+</div>","","",""
