"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","31","pbchetoqo77","easy","duck","","","","","",""
"true","","","","","fullscreen","1","2.1.0","5083","pbchetoqo77","easy","duck","4049","","","","",""
"","","","","","survey-text","2","2.1.0","10471","pbchetoqo77","easy","duck","5369","{""participant_id"":""duck""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","32467","pbchetoqo77","easy","duck","21993"," ","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","32970","pbchetoqo77","easy","duck","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","33472","pbchetoqo77","easy","duck","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","44142","pbchetoqo77","easy","duck","8664","a","stimuli/experiment1a/high_A_000.png","high","A","true"
"","","","","","html-keyboard-response","7","2.1.0","44645","pbchetoqo77","easy","duck","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","8","2.1.0","45148","pbchetoqo77","easy","duck","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","9","2.1.0","49454","pbchetoqo77","easy","duck","2302","a","stimuli/experiment1a/high_A_000.png","high","A","true"
"","","","","","html-keyboard-response","10","2.1.0","49957","pbchetoqo77","easy","duck","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","11","2.1.0","50459","pbchetoqo77","easy","duck","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","12","2.1.0","53574","pbchetoqo77","easy","duck","1112","b","stimuli/experiment1a/high_B_110.png","high","B","true"
"","","","","","html-keyboard-response","13","2.1.0","54076","pbchetoqo77","easy","duck","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","14","2.1.0","54579","pbchetoqo77","easy","duck","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","15","2.1.0","58918","pbchetoqo77","easy","duck","2336","a","stimuli/experiment1a/high_A_010.png","high","A","true"
"","","","","","html-keyboard-response","16","2.1.0","59421","pbchetoqo77","easy","duck","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","17","2.1.0","59923","pbchetoqo77","easy","duck","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","18","2.1.0","62970","pbchetoqo77","easy","duck","1044","b","stimuli/experiment1a/high_B_111.png","high","B","true"
"","","","","","html-keyboard-response","19","2.1.0","63472","pbchetoqo77","easy","duck","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","20","2.1.0","63975","pbchetoqo77","easy","duck","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","21","2.1.0","66715","pbchetoqo77","easy","duck","737","b","stimuli/experiment1a/high_B_111.png","high","B","true"
"","","","","","html-keyboard-response","22","2.1.0","67217","pbchetoqo77","easy","duck","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","23","2.1.0","67719","pbchetoqo77","easy","duck","null","null","<div style=""font-size:60px;"">+</div>","","",""
