"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","116","pbw7hasqsls","hard2","wolf","","","","","",""
"true","","","","","fullscreen","1","2.1.0","2286","pbw7hasqsls","hard2","wolf","1167","","","","",""
"","","","","","survey-text","2","2.1.0","4919","pbw7hasqsls","hard2","wolf","2626","{""participant_id"":""wolf""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","11309","pbw7hasqsls","hard2","wolf","6389"," ","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","11811","pbw7hasqsls","hard2","wolf","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","12314","pbw7hasqsls","hard2","wolf","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","19875","pbw7hasqsls","hard2","wolf","5555","a","stimuli/experiment1a/low_B_111.png","low","A","true"
"","","","","","html-keyboard-response","7","2.1.0","20379","pbw7hasqsls","hard2","wolf","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","8","2.1.0","20882","pbw7hasqsls","hard2","wolf","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","9","2.1.0","28158","pbw7hasqsls","hard2","wolf","5271","a","stimuli/experiment1a/low_A_000.png","low","B","false"
"","","","","","html-keyboard-response","10","2.1.0","28660","pbw7hasqsls","hard2","wolf","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","11","2.1.0","31335","pbw7hasqsls","hard2","wolf","671","b","stimuli/experiment1a/low_A_000.png","low","B","true"
"","","","","","html-keyboard-response","12","2.1.0","31839","pbw7hasqsls","hard2","wolf","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","13","2.1.0","32341","pbw7hasqsls","hard2","wolf","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","14","2.1.0","35823","pbw7hasqsls","hard2","wolf","1478","a","stimuli/experiment1a/low_B_101.png","low","A","true"
"","","","","","html-keyboard-response","15","2.1.0","36326","pbw7hasqsls","hard2","wolf","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","16","2.1.0","36829","pbw7hasqsls","hard2","wolf","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","17","2.1.0","39544","pbw7hasqsls","hard2","wolf","711","a","stimuli/experiment1a/low_B_111.png","low","A","true"
"","","","","","html-keyboard-response","18","2.1.0","40047","pbw7hasqsls","hard2","wolf","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","19","2.1.0","40549","pbw7hasqsls","hard2","wolf","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","20","2.1.0","43101","pbw7hasqsls","hard2","wolf","547","b","stimuli/experiment1a/low_A_000.png","low","B","true"
"","","","","","html-keyboard-response","21","2.1.0","43605","pbw7hasqsls","hard2","wolf","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","22","2.1.0","44107","pbw7hasqsls","hard2","wolf","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","23","2.1.0","46807","pbw7hasqsls","hard2","wolf","696","b","stimuli/experiment1a/low_A_010.png","low","B","true"
"","","","","","html-keyboard-response","24","2.1.0","47311","pbw7hasqsls","hard2","wolf","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","25","2.1.0","47813","pbw7hasqsls","hard2","wolf","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","26","2.1.0","52980","pbw7hasqsls","hard2","wolf","3163","b","stimuli/experiment1a/low_A_001.png","low","B","true"
"","","","","","html-keyboard-response","27","2.1.0","53484","pbw7hasqsls","hard2","wolf","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","28","2.1.0","53985","pbw7hasqsls","hard2","wolf","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","29","2.1.0","57322","pbw7hasqsls","hard2","wolf","1333","a","stimuli/experiment1a/low_B_110.png","low","A","true"
"","","","","","image-keyboard-response","30","null","59154","pbw7hasqsls","hard2","wolf","1827","q","stimuli/experiment_check.webp","","",""
"","","","","","html-keyboard-response","31","2.1.0","61157","pbw7hasqsls","hard2","wolf","null","null","<p>Fluffy blesses you. Good job!</p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","32","2.1.0","61199","pbw7hasqsls","hard2","wolf","41"," ","<p><strong>TEST BLOCK 1 FINISHED</strong></p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","33","2.1.0","61701","pbw7hasqsls","hard2","wolf","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","34","2.1.0","62203","pbw7hasqsls","hard2","wolf","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","35","2.1.0","66137","pbw7hasqsls","hard2","wolf","1930","a","stimuli/experiment1a/low_A_000.png","low","B","false"
"","","","","","html-keyboard-response","36","2.1.0","66640","pbw7hasqsls","hard2","wolf","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","37","2.1.0","69213","pbw7hasqsls","hard2","wolf","569","b","stimuli/experiment1a/low_A_000.png","low","B","true"
"","","","","","html-keyboard-response","38","2.1.0","69716","pbw7hasqsls","hard2","wolf","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","39","2.1.0","70218","pbw7hasqsls","hard2","wolf","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","40","2.1.0","72755","pbw7hasqsls","hard2","wolf","533","b","stimuli/experiment1a/low_A_000.png","low","B","true"
"","","","","","html-keyboard-response","41","2.1.0","73258","pbw7hasqsls","hard2","wolf","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","42","2.1.0","73761","pbw7hasqsls","hard2","wolf","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","43","2.1.0","76241","pbw7hasqsls","hard2","wolf","477","a","stimuli/experiment1a/low_B_111.png","low","A","true"
"","","","","","html-keyboard-response","44","2.1.0","76745","pbw7hasqsls","hard2","wolf","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","45","2.1.0","77247","pbw7hasqsls","hard2","wolf","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","46","2.1.0","80659","pbw7hasqsls","hard2","wolf","1408","a","stimuli/experiment1a/low_B_101.png","low","A","true"
"","","","","","html-keyboard-response","47","2.1.0","81163","pbw7hasqsls","hard2","wolf","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","48","2.1.0","81665","pbw7hasqsls","hard2","wolf","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","49","2.1.0","85737","pbw7hasqsls","hard2","wolf","2068","b","stimuli/experiment1a/low_A_001.png","low","B","true"
"","","","","","html-keyboard-response","50","2.1.0","86240","pbw7hasqsls","hard2","wolf","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","51","2.1.0","86742","pbw7hasqsls","hard2","wolf","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","52","2.1.0","90410","pbw7hasqsls","hard2","wolf","1664","b","stimuli/experiment1a/low_A_010.png","low","B","true"
