"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","89","pjvlzenl3v4","hard2","tiger","","","","","",""
"true","","","","","fullscreen","1","2.1.0","2878","pjvlzenl3v4","hard2","tiger","1783","","","","",""
"","","","","","survey-text","2","2.1.0","6260","pjvlzenl3v4","hard2","tiger","3378","{""participant_id"":""tiger""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","15926","pjvlzenl3v4","hard2","tiger","9664"," ","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","16428","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","16931","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","20473","pjvlzenl3v4","hard2","tiger","1539","a","stimuli/experiment1a/low_A_010.png","low","B","false"
"","","","","","html-keyboard-response","7","2.1.0","20976","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","8","2.1.0","23587","pjvlzenl3v4","hard2","tiger","608","b","stimuli/experiment1a/low_A_010.png","low","B","true"
"","","","","","html-keyboard-response","9","2.1.0","24090","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","10","2.1.0","24593","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","11","2.1.0","27268","pjvlzenl3v4","hard2","tiger","672","a","stimuli/experiment1a/low_B_101.png","low","A","true"
"","","","","","html-keyboard-response","12","2.1.0","27771","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","13","2.1.0","28273","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","14","2.1.0","31249","pjvlzenl3v4","hard2","tiger","975","a","stimuli/experiment1a/low_A_001.png","low","B","false"
"","","","","","html-keyboard-response","15","2.1.0","31751","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","16","2.1.0","34596","pjvlzenl3v4","hard2","tiger","842","b","stimuli/experiment1a/low_A_001.png","low","B","true"
"","","","","","html-keyboard-response","17","2.1.0","35099","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","18","2.1.0","35600","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","19","2.1.0","38547","pjvlzenl3v4","hard2","tiger","943","a","stimuli/experiment1a/low_B_110.png","low","A","true"
"","","","","","html-keyboard-response","20","2.1.0","39048","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","21","2.1.0","39550","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","22","2.1.0","42344","pjvlzenl3v4","hard2","tiger","791","b","stimuli/experiment1a/low_A_000.png","low","B","true"
"","","","","","html-keyboard-response","23","2.1.0","42846","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","24","2.1.0","43348","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","25","2.1.0","45970","pjvlzenl3v4","hard2","tiger","621","b","stimuli/experiment1a/low_A_000.png","low","B","true"
"","","","","","html-keyboard-response","26","2.1.0","46473","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","27","2.1.0","46974","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","28","2.1.0","49796","pjvlzenl3v4","hard2","tiger","819","a","stimuli/experiment1a/low_B_111.png","low","A","true"
"","","","","","html-keyboard-response","29","2.1.0","50297","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","30","2.1.0","50798","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","31","2.1.0","53441","pjvlzenl3v4","hard2","tiger","640","a","stimuli/experiment1a/low_B_111.png","low","A","true"
"","","","","","image-keyboard-response","32","null","61074","pjvlzenl3v4","hard2","tiger","7623","q","stimuli/experiment_check.webp","","",""
"","","","","","html-keyboard-response","33","2.1.0","63077","pjvlzenl3v4","hard2","tiger","null","null","<p>Fluffy blesses you. Good job!</p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","34","2.1.0","63193","pjvlzenl3v4","hard2","tiger","116"," ","<p><strong>TEST BLOCK 1 FINISHED</strong></p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","35","2.1.0","63694","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","36","2.1.0","64196","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","37","2.1.0","67741","pjvlzenl3v4","hard2","tiger","1542","b","stimuli/experiment1a/low_A_010.png","low","B","true"
"","","","","","html-keyboard-response","38","2.1.0","68244","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","39","2.1.0","68746","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","40","2.1.0","71400","pjvlzenl3v4","hard2","tiger","651","b","stimuli/experiment1a/low_A_000.png","low","B","true"
"","","","","","html-keyboard-response","41","2.1.0","71902","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","42","2.1.0","72403","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","43","2.1.0","75052","pjvlzenl3v4","hard2","tiger","647","a","stimuli/experiment1a/low_B_111.png","low","A","true"
"","","","","","html-keyboard-response","44","2.1.0","75555","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","45","2.1.0","76056","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","46","2.1.0","78950","pjvlzenl3v4","hard2","tiger","891","a","stimuli/experiment1a/low_B_110.png","low","A","true"
"","","","","","html-keyboard-response","47","2.1.0","79453","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","48","2.1.0","79955","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","49","2.1.0","82528","pjvlzenl3v4","hard2","tiger","570","b","stimuli/experiment1a/low_A_000.png","low","B","true"
"","","","","","html-keyboard-response","50","2.1.0","83031","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","51","2.1.0","83532","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","52","2.1.0","86763","pjvlzenl3v4","hard2","tiger","1228","b","stimuli/experiment1a/low_A_001.png","low","B","true"
"","","","","","html-keyboard-response","53","2.1.0","87265","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","54","2.1.0","87768","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","55","2.1.0","90934","pjvlzenl3v4","hard2","tiger","1163","a","stimuli/experiment1a/low_B_101.png","low","A","true"
"","","","","","html-keyboard-response","56","2.1.0","91436","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","57","2.1.0","91937","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","58","2.1.0","94623","pjvlzenl3v4","hard2","tiger","684","a","stimuli/experiment1a/low_B_111.png","low","A","true"
"","","","","","image-keyboard-response","59","null","96349","pjvlzenl3v4","hard2","tiger","1724","q","stimuli/experiment_check.webp","","",""
"","","","","","html-keyboard-response","60","2.1.0","97370","pjvlzenl3v4","hard2","tiger","1021"," ","<p>Fluffy blesses you. Good job!</p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","61","2.1.0","99357","pjvlzenl3v4","hard2","tiger","1986"," ","<p><strong>TEST BLOCK 2 FINISHED</strong></p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","62","2.1.0","99858","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","63","2.1.0","100359","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","64","2.1.0","103277","pjvlzenl3v4","hard2","tiger","916","b","stimuli/experiment1a/low_B_110.png","low","A","false"
"","","","","","html-keyboard-response","65","2.1.0","103779","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","66","2.1.0","106122","pjvlzenl3v4","hard2","tiger","341","a","stimuli/experiment1a/low_B_110.png","low","A","true"
"","","","","","html-keyboard-response","67","2.1.0","106625","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","68","2.1.0","107126","pjvlzenl3v4","hard2","tiger","null","null","<div style=""font-size:60px;"">+</div>","","",""
