"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","478","pk9jezycqsj","hard","tortoise","","","","","",""
"true","","","","","fullscreen","1","2.1.0","873268","pk9jezycqsj","hard","tortoise","871775","","","","",""
"","","","","","survey-text","2","2.1.0","876118","pk9jezycqsj","hard","tortoise","2844","{""participant_id"":""tortoise""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","890458","pk9jezycqsj","hard","tortoise","14338"," ","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","890962","pk9jezycqsj","hard","tortoise","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","891471","pk9jezycqsj","hard","tortoise","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","896158","pk9jezycqsj","hard","tortoise","2680","a","stimuli/experiment1a/low_A_001.png","low","A","true"
"","","","","","html-keyboard-response","7","2.1.0","896670","pk9jezycqsj","hard","tortoise","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","8","2.1.0","897183","pk9jezycqsj","hard","tortoise","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","9","2.1.0","901795","pk9jezycqsj","hard","tortoise","2601","a","stimuli/experiment1a/low_B_111.png","low","B","false"
"","","","","","html-keyboard-response","10","2.1.0","902306","pk9jezycqsj","hard","tortoise","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","11","2.1.0","905418","pk9jezycqsj","hard","tortoise","1098","b","stimuli/experiment1a/low_B_111.png","low","B","true"
"","","","","","html-keyboard-response","12","2.1.0","905925","pk9jezycqsj","hard","tortoise","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","13","2.1.0","906434","pk9jezycqsj","hard","tortoise","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","14","2.1.0","909656","pk9jezycqsj","hard","tortoise","1217","a","stimuli/experiment1a/low_A_000.png","low","A","true"
"","","","","","html-keyboard-response","15","2.1.0","910167","pk9jezycqsj","hard","tortoise","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","16","2.1.0","910676","pk9jezycqsj","hard","tortoise","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","17","2.1.0","914181","pk9jezycqsj","hard","tortoise","1502","b","stimuli/experiment1a/low_B_110.png","low","B","true"
"","","","","","html-keyboard-response","18","2.1.0","914691","pk9jezycqsj","hard","tortoise","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","19","2.1.0","915201","pk9jezycqsj","hard","tortoise","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","20","2.1.0","918344","pk9jezycqsj","hard","tortoise","1138","b","stimuli/experiment1a/low_B_111.png","low","B","true"
"","","","","","html-keyboard-response","21","2.1.0","918855","pk9jezycqsj","hard","tortoise","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","22","2.1.0","919368","pk9jezycqsj","hard","tortoise","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","23","2.1.0","922262","pk9jezycqsj","hard","tortoise","883","a","stimuli/experiment1a/low_A_010.png","low","A","true"
"","","","","","html-keyboard-response","24","2.1.0","922775","pk9jezycqsj","hard","tortoise","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","25","2.1.0","923288","pk9jezycqsj","hard","tortoise","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","26","2.1.0","926777","pk9jezycqsj","hard","tortoise","1477","b","stimuli/experiment1a/low_B_101.png","low","B","true"
"","","","","","html-keyboard-response","27","2.1.0","927290","pk9jezycqsj","hard","tortoise","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","28","2.1.0","927798","pk9jezycqsj","hard","tortoise","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","29","2.1.0","931542","pk9jezycqsj","hard","tortoise","1741","a","stimuli/experiment1a/low_A_000.png","low","A","true"
"","","","","","image-keyboard-response","30","null","934535","pk9jezycqsj","hard","tortoise","2990","q","stimuli/experiment_check.webp","","",""
"","","","","","html-keyboard-response","31","2.1.0","936538","pk9jezycqsj","hard","tortoise","null","null","<p>Fluffy blesses you. Good job!</p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","32","2.1.0","937020","pk9jezycqsj","hard","tortoise","481","b","<p><strong>TEST BLOCK 1 FINISHED</strong></p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","33","2.1.0","937527","pk9jezycqsj","hard","tortoise","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","34","2.1.0","938039","pk9jezycqsj","hard","tortoise","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","35","2.1.0","941456","pk9jezycqsj","hard","tortoise","1414","b","stimuli/experiment1a/low_B_111.png","low","B","true"
"","","","","","html-keyboard-response","36","2.1.0","941972","pk9jezycqsj","hard","tortoise","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","37","2.1.0","942481","pk9jezycqsj","hard","tortoise","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","38","2.1.0","945883","pk9jezycqsj","hard","tortoise","1392","a","stimuli/experiment1a/low_A_010.png","low","A","true"
"","","","","","html-keyboard-response","39","2.1.0","946395","pk9jezycqsj","hard","tortoise","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","40","2.1.0","946908","pk9jezycqsj","hard","tortoise","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","41","2.1.0","951847","pk9jezycqsj","hard","tortoise","2931","b","stimuli/experiment1a/low_A_001.png","low","A","false"
"","","","","","html-keyboard-response","42","2.1.0","952356","pk9jezycqsj","hard","tortoise","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","43","2.1.0","955327","pk9jezycqsj","hard","tortoise","957","a","stimuli/experiment1a/low_A_001.png","low","A","true"
"","","","","","html-keyboard-response","44","2.1.0","955836","pk9jezycqsj","hard","tortoise","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","45","2.1.0","956347","pk9jezycqsj","hard","tortoise","null","null","<div style=""font-size:60px;"">+</div>","","",""
