"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","210","pkawvddjjjp","hard","cheetah","","","","","",""
"true","","","","","fullscreen","1","2.1.0","2038","pkawvddjjjp","hard","cheetah","822","","","","",""
"","","","","","survey-text","2","2.1.0","4942","pkawvddjjjp","hard","cheetah","2895","{""participant_id"":""cheetah""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","16679","pkawvddjjjp","hard","cheetah","11734"," ","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","17191","pkawvddjjjp","hard","cheetah","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","17695","pkawvddjjjp","hard","cheetah","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","39631","pkawvddjjjp","hard","cheetah","19925","a","stimuli/experiment1a/low_A_010.png","low","A","true"
"","","","","","html-keyboard-response","7","2.1.0","40150","pkawvddjjjp","hard","cheetah","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","8","2.1.0","40653","pkawvddjjjp","hard","cheetah","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","9","2.1.0","45419","pkawvddjjjp","hard","cheetah","2756","b","stimuli/experiment1a/low_A_000.png","low","A","false"
"","","","","","html-keyboard-response","10","2.1.0","45933","pkawvddjjjp","hard","cheetah","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","11","2.1.0","48374","pkawvddjjjp","hard","cheetah","433","a","stimuli/experiment1a/low_A_000.png","low","A","true"
"","","","","","html-keyboard-response","12","2.1.0","48877","pkawvddjjjp","hard","cheetah","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","13","2.1.0","49394","pkawvddjjjp","hard","cheetah","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","14","2.1.0","55378","pkawvddjjjp","hard","cheetah","3981","a","stimuli/experiment1a/low_A_001.png","low","A","true"
"","","","","","html-keyboard-response","15","2.1.0","55894","pkawvddjjjp","hard","cheetah","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","16","2.1.0","56409","pkawvddjjjp","hard","cheetah","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","17","2.1.0","60800","pkawvddjjjp","hard","cheetah","2374","b","stimuli/experiment1a/low_A_000.png","low","A","false"
"","","","","","html-keyboard-response","18","2.1.0","61306","pkawvddjjjp","hard","cheetah","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","19","2.1.0","63578","pkawvddjjjp","hard","cheetah","256","a","stimuli/experiment1a/low_A_000.png","low","A","true"
"","","","","","html-keyboard-response","20","2.1.0","64095","pkawvddjjjp","hard","cheetah","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","21","2.1.0","64601","pkawvddjjjp","hard","cheetah","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","22","2.1.0","67401","pkawvddjjjp","hard","cheetah","786","b","stimuli/experiment1a/low_B_101.png","low","B","true"
"","","","","","html-keyboard-response","23","2.1.0","67905","pkawvddjjjp","hard","cheetah","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","24","2.1.0","68422","pkawvddjjjp","hard","cheetah","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","25","2.1.0","72756","pkawvddjjjp","hard","cheetah","2328","b","stimuli/experiment1a/low_B_111.png","low","B","true"
"","","","","","html-keyboard-response","26","2.1.0","73266","pkawvddjjjp","hard","cheetah","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","27","2.1.0","73778","pkawvddjjjp","hard","cheetah","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","28","2.1.0","77144","pkawvddjjjp","hard","cheetah","1358","b","stimuli/experiment1a/low_B_110.png","low","B","true"
"","","","","","html-keyboard-response","29","2.1.0","77656","pkawvddjjjp","hard","cheetah","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","30","2.1.0","78167","pkawvddjjjp","hard","cheetah","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","31","2.1.0","80867","pkawvddjjjp","hard","cheetah","683","b","stimuli/experiment1a/low_B_111.png","low","B","true"
"","","","","","image-keyboard-response","32","null","82912","pkawvddjjjp","hard","cheetah","2038","q","stimuli/experiment_check.webp","","",""
"","","","","","html-keyboard-response","33","2.1.0","84502","pkawvddjjjp","hard","cheetah","1589"," ","<p>Fluffy blesses you. Good job!</p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","34","2.1.0","86241","pkawvddjjjp","hard","cheetah","1738"," ","<p><strong>TEST BLOCK 1 FINISHED</strong></p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","35","2.1.0","86749","pkawvddjjjp","hard","cheetah","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","36","2.1.0","87251","pkawvddjjjp","hard","cheetah","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","37","2.1.0","90014","pkawvddjjjp","hard","cheetah","751","a","stimuli/experiment1a/low_A_000.png","low","A","true"
"","","","","","html-keyboard-response","38","2.1.0","90530","pkawvddjjjp","hard","cheetah","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","39","2.1.0","91047","pkawvddjjjp","hard","cheetah","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","40","2.1.0","93636","pkawvddjjjp","hard","cheetah","580","b","stimuli/experiment1a/low_B_111.png","low","B","true"
"","","","","","html-keyboard-response","41","2.1.0","94153","pkawvddjjjp","hard","cheetah","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","42","2.1.0","94658","pkawvddjjjp","hard","cheetah","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","43","2.1.0","97220","pkawvddjjjp","hard","cheetah","544","a","stimuli/experiment1a/low_B_101.png","low","B","false"
"","","","","","html-keyboard-response","44","2.1.0","97729","pkawvddjjjp","hard","cheetah","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","45","2.1.0","100050","pkawvddjjjp","hard","cheetah","303","b","stimuli/experiment1a/low_B_101.png","low","B","true"
"","","","","","html-keyboard-response","46","2.1.0","100564","pkawvddjjjp","hard","cheetah","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","47","2.1.0","101077","pkawvddjjjp","hard","cheetah","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","48","2.1.0","103896","pkawvddjjjp","hard","cheetah","804","a","stimuli/experiment1a/low_A_010.png","low","A","true"
"","","","","","html-keyboard-response","49","2.1.0","104407","pkawvddjjjp","hard","cheetah","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","50","2.1.0","104909","pkawvddjjjp","hard","cheetah","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","51","2.1.0","108020","pkawvddjjjp","hard","cheetah","1094","b","stimuli/experiment1a/low_B_111.png","low","B","true"
"","","","","","html-keyboard-response","52","2.1.0","108536","pkawvddjjjp","hard","cheetah","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","53","2.1.0","109050","pkawvddjjjp","hard","cheetah","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","54","2.1.0","111626","pkawvddjjjp","hard","cheetah","569","a","stimuli/experiment1a/low_A_001.png","low","A","true"
"","","","","","html-keyboard-response","55","2.1.0","112143","pkawvddjjjp","hard","cheetah","null","null","<div style=""font-size:60px;"">+</div>","","",""
