"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","102","pkhfs51f49x","easy","turtle","","","","","",""
"true","","","","","fullscreen","1","2.1.0","3726","pkhfs51f49x","easy","turtle","2620","","","","",""
"","","","","","survey-text","2","2.1.0","8632","pkhfs51f49x","easy","turtle","4902","{""participant_id"":""turtle""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","15676","pkhfs51f49x","easy","turtle","7042"," ","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","16177","pkhfs51f49x","easy","turtle","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","16681","pkhfs51f49x","easy","turtle","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","22261","pkhfs51f49x","easy","turtle","3576","a","stimuli/experiment1a/high_A_000.png","high","A","true"
"","","","","","html-keyboard-response","7","2.1.0","22765","pkhfs51f49x","easy","turtle","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","8","2.1.0","23266","pkhfs51f49x","easy","turtle","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","9","2.1.0","26755","pkhfs51f49x","easy","turtle","1486","b","stimuli/experiment1a/high_A_010.png","high","A","false"
"","","","","","html-keyboard-response","10","2.1.0","27257","pkhfs51f49x","easy","turtle","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","11","2.1.0","30356","pkhfs51f49x","easy","turtle","1096","a","stimuli/experiment1a/high_A_010.png","high","A","true"
"","","","","","html-keyboard-response","12","2.1.0","30859","pkhfs51f49x","easy","turtle","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","13","2.1.0","31360","pkhfs51f49x","easy","turtle","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","14","2.1.0","34047","pkhfs51f49x","easy","turtle","684","b","stimuli/experiment1a/high_B_101.png","high","B","true"
"","","","","","html-keyboard-response","15","2.1.0","34549","pkhfs51f49x","easy","turtle","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","16","2.1.0","35051","pkhfs51f49x","easy","turtle","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","17","2.1.0","37737","pkhfs51f49x","easy","turtle","682","a","stimuli/experiment1a/high_A_000.png","high","A","true"
"","","","","","html-keyboard-response","18","2.1.0","38239","pkhfs51f49x","easy","turtle","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","19","2.1.0","38741","pkhfs51f49x","easy","turtle","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","20","2.1.0","41451","pkhfs51f49x","easy","turtle","707","a","stimuli/experiment1a/high_A_001.png","high","A","true"
"","","","","","html-keyboard-response","21","2.1.0","41954","pkhfs51f49x","easy","turtle","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","22","2.1.0","42456","pkhfs51f49x","easy","turtle","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","23","2.1.0","45906","pkhfs51f49x","easy","turtle","1447","b","stimuli/experiment1a/high_B_110.png","high","B","true"
"","","","","","html-keyboard-response","24","2.1.0","46408","pkhfs51f49x","easy","turtle","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","25","2.1.0","46910","pkhfs51f49x","easy","turtle","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","26","2.1.0","49702","pkhfs51f49x","easy","turtle","788","b","stimuli/experiment1a/high_B_111.png","high","B","true"
"","","","","","html-keyboard-response","27","2.1.0","50205","pkhfs51f49x","easy","turtle","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","28","2.1.0","50706","pkhfs51f49x","easy","turtle","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","29","2.1.0","53224","pkhfs51f49x","easy","turtle","516","b","stimuli/experiment1a/high_B_111.png","high","B","true"
"","","","","","image-keyboard-response","30","null","55512","pkhfs51f49x","easy","turtle","2284","q","stimuli/experiment_check.webp","","",""
"","","","","","html-keyboard-response","31","2.1.0","57515","pkhfs51f49x","easy","turtle","null","null","<p>Fluffy blesses you. Good job!</p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","32","2.1.0","58845","pkhfs51f49x","easy","turtle","1330"," ","<p><strong>TEST BLOCK 1 FINISHED</strong></p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","33","2.1.0","59347","pkhfs51f49x","easy","turtle","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","34","2.1.0","59848","pkhfs51f49x","easy","turtle","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","35","2.1.0","62928","pkhfs51f49x","easy","turtle","1076","b","stimuli/experiment1a/high_B_111.png","high","B","true"
"","","","","","html-keyboard-response","36","2.1.0","63431","pkhfs51f49x","easy","turtle","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","37","2.1.0","63933","pkhfs51f49x","easy","turtle","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","38","2.1.0","66407","pkhfs51f49x","easy","turtle","471","a","stimuli/experiment1a/high_A_000.png","high","A","true"
"","","","","","html-keyboard-response","39","2.1.0","66909","pkhfs51f49x","easy","turtle","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","40","2.1.0","67411","pkhfs51f49x","easy","turtle","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","41","2.1.0","70389","pkhfs51f49x","easy","turtle","974","b","stimuli/experiment1a/high_B_110.png","high","B","true"
"","","","","","html-keyboard-response","42","2.1.0","70891","pkhfs51f49x","easy","turtle","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","43","2.1.0","71393","pkhfs51f49x","easy","turtle","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","44","2.1.0","74464","pkhfs51f49x","easy","turtle","1068","b","stimuli/experiment1a/high_A_010.png","high","A","false"
"","","","","","html-keyboard-response","45","2.1.0","74966","pkhfs51f49x","easy","turtle","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","46","2.1.0","78051","pkhfs51f49x","easy","turtle","1082","a","stimuli/experiment1a/high_A_010.png","high","A","true"
"","","","","","html-keyboard-response","47","2.1.0","78553","pkhfs51f49x","easy","turtle","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","48","2.1.0","79055","pkhfs51f49x","easy","turtle","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","49","2.1.0","81822","pkhfs51f49x","easy","turtle","763","a","stimuli/experiment1a/high_A_001.png","high","A","true"
"","","","","","html-keyboard-response","50","2.1.0","82325","pkhfs51f49x","easy","turtle","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","51","2.1.0","82826","pkhfs51f49x","easy","turtle","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","52","2.1.0","85569","pkhfs51f49x","easy","turtle","740","a","stimuli/experiment1a/high_A_000.png","high","A","true"
