"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","289","pkv6dmb4hyc","easy2","cub","","","","","",""
"true","","","","","fullscreen","1","2.1.0","3503","pkv6dmb4hyc","easy2","cub","2209","","","","",""
"","","","","","survey-text","2","2.1.0","6531","pkv6dmb4hyc","easy2","cub","3021","{""participant_id"":""cub""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","30892","pkv6dmb4hyc","easy2","cub","24359"," ","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","31394","pkv6dmb4hyc","easy2","cub","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","31898","pkv6dmb4hyc","easy2","cub","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","42256","pkv6dmb4hyc","easy2","cub","8351","a","stimuli/experiment1a/high_B_111.png","high","A","true"
"","","","","","html-keyboard-response","7","2.1.0","42762","pkv6dmb4hyc","easy2","cub","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","8","2.1.0","43265","pkv6dmb4hyc","easy2","cub","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","9","2.1.0","50901","pkv6dmb4hyc","easy2","cub","5630","a","stimuli/experiment1a/high_B_101.png","high","A","true"
"","","","","","html-keyboard-response","10","2.1.0","51404","pkv6dmb4hyc","easy2","cub","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","11","2.1.0","51907","pkv6dmb4hyc","easy2","cub","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","12","2.1.0","56431","pkv6dmb4hyc","easy2","cub","2518","a","stimuli/experiment1a/high_A_010.png","high","B","false"
"","","","","","html-keyboard-response","13","2.1.0","56934","pkv6dmb4hyc","easy2","cub","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","14","2.1.0","63936","pkv6dmb4hyc","easy2","cub","4998","b","stimuli/experiment1a/high_A_010.png","high","B","true"
"","","","","","html-keyboard-response","15","2.1.0","64440","pkv6dmb4hyc","easy2","cub","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","16","2.1.0","64944","pkv6dmb4hyc","easy2","cub","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","17","2.1.0","68642","pkv6dmb4hyc","easy2","cub","1694","a","stimuli/experiment1a/high_B_110.png","high","A","true"
"","","","","","html-keyboard-response","18","2.1.0","69144","pkv6dmb4hyc","easy2","cub","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","19","2.1.0","69647","pkv6dmb4hyc","easy2","cub","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","20","2.1.0","76194","pkv6dmb4hyc","easy2","cub","4543","b","stimuli/experiment1a/high_A_000.png","high","B","true"
"","","","","","html-keyboard-response","21","2.1.0","76698","pkv6dmb4hyc","easy2","cub","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","22","2.1.0","77201","pkv6dmb4hyc","easy2","cub","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","23","2.1.0","92243","pkv6dmb4hyc","easy2","cub","13039","b","stimuli/experiment1a/high_A_001.png","high","B","true"
"","","","","","html-keyboard-response","24","2.1.0","92746","pkv6dmb4hyc","easy2","cub","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","25","2.1.0","93249","pkv6dmb4hyc","easy2","cub","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","26","2.1.0","96899","pkv6dmb4hyc","easy2","cub","1645","b","stimuli/experiment1a/high_B_111.png","high","A","false"
"","","","","","html-keyboard-response","27","2.1.0","97402","pkv6dmb4hyc","easy2","cub","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","28","2.1.0","101620","pkv6dmb4hyc","easy2","cub","2213","a","stimuli/experiment1a/high_B_111.png","high","A","true"
"","","","","","html-keyboard-response","29","2.1.0","102123","pkv6dmb4hyc","easy2","cub","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","30","2.1.0","102625","pkv6dmb4hyc","easy2","cub","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","31","2.1.0","108462","pkv6dmb4hyc","easy2","cub","3831","b","stimuli/experiment1a/high_A_000.png","high","B","true"
"","","","","","image-keyboard-response","32","null","112983","pkv6dmb4hyc","easy2","cub","4515","q","stimuli/experiment_check.webp","","",""
"","","","","","html-keyboard-response","33","2.1.0","114986","pkv6dmb4hyc","easy2","cub","null","null","<p>Fluffy blesses you. Good job!</p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","34","2.1.0","118883","pkv6dmb4hyc","easy2","cub","3896"," ","<p><strong>TEST BLOCK 1 FINISHED</strong></p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","35","2.1.0","119386","pkv6dmb4hyc","easy2","cub","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","36","2.1.0","119888","pkv6dmb4hyc","easy2","cub","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","37","2.1.0","128307","pkv6dmb4hyc","easy2","cub","6414","b","stimuli/experiment1a/high_A_000.png","high","B","true"
"","","","","","html-keyboard-response","38","2.1.0","128810","pkv6dmb4hyc","easy2","cub","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","39","2.1.0","129313","pkv6dmb4hyc","easy2","cub","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","40","2.1.0","132570","pkv6dmb4hyc","easy2","cub","1253","a","stimuli/experiment1a/high_B_110.png","high","A","true"
"","","","","","html-keyboard-response","41","2.1.0","133073","pkv6dmb4hyc","easy2","cub","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","42","2.1.0","133578","pkv6dmb4hyc","easy2","cub","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","43","2.1.0","137199","pkv6dmb4hyc","easy2","cub","1617","b","stimuli/experiment1a/high_B_101.png","high","A","false"
"","","","","","html-keyboard-response","44","2.1.0","137702","pkv6dmb4hyc","easy2","cub","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","45","2.1.0","140679","pkv6dmb4hyc","easy2","cub","973","a","stimuli/experiment1a/high_B_101.png","high","A","true"
"","","","","","html-keyboard-response","46","2.1.0","141181","pkv6dmb4hyc","easy2","cub","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","47","2.1.0","141682","pkv6dmb4hyc","easy2","cub","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","48","2.1.0","145248","pkv6dmb4hyc","easy2","cub","1560","b","stimuli/experiment1a/high_A_000.png","high","B","true"
"","","","","","html-keyboard-response","49","2.1.0","145752","pkv6dmb4hyc","easy2","cub","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","50","2.1.0","146254","pkv6dmb4hyc","easy2","cub","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","51","2.1.0","149733","pkv6dmb4hyc","easy2","cub","1475","a","stimuli/experiment1a/high_B_111.png","high","A","true"
"","","","","","html-keyboard-response","52","2.1.0","150237","pkv6dmb4hyc","easy2","cub","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","53","2.1.0","150740","pkv6dmb4hyc","easy2","cub","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","54","2.1.0","155545","pkv6dmb4hyc","easy2","cub","2802","a","stimuli/experiment1a/high_A_001.png","high","B","false"
