"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","243","pl9h32v3f9s","easy2","goat","","","","","",""
"true","","","","","fullscreen","1","2.1.0","34506","pl9h32v3f9s","easy2","goat","33257","","","","",""
"","","","","","survey-text","2","2.1.0","37455","pl9h32v3f9s","easy2","goat","2945","{""participant_id"":""goat""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","46753","pl9h32v3f9s","easy2","goat","9297","Enter","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","47254","pl9h32v3f9s","easy2","goat","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","47757","pl9h32v3f9s","easy2","goat","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","53747","pl9h32v3f9s","easy2","goat","3986","a","stimuli/experiment1a/high_A_010.png","high","B","false"
"","","","","","html-keyboard-response","7","2.1.0","54250","pl9h32v3f9s","easy2","goat","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","8","2.1.0","57938","pl9h32v3f9s","easy2","goat","1684","b","stimuli/experiment1a/high_A_010.png","high","B","true"
"","","","","","html-keyboard-response","9","2.1.0","58442","pl9h32v3f9s","easy2","goat","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","10","2.1.0","58944","pl9h32v3f9s","easy2","goat","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","11","2.1.0","63003","pl9h32v3f9s","easy2","goat","2056","b","stimuli/experiment1a/high_B_110.png","high","A","false"
"","","","","","html-keyboard-response","12","2.1.0","63506","pl9h32v3f9s","easy2","goat","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","13","2.1.0","66625","pl9h32v3f9s","easy2","goat","1116","a","stimuli/experiment1a/high_B_110.png","high","A","true"
"","","","","","html-keyboard-response","14","2.1.0","67128","pl9h32v3f9s","easy2","goat","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","15","2.1.0","67630","pl9h32v3f9s","easy2","goat","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","16","2.1.0","71234","pl9h32v3f9s","easy2","goat","1600","a","stimuli/experiment1a/high_B_111.png","high","A","true"
"","","","","","html-keyboard-response","17","2.1.0","71736","pl9h32v3f9s","easy2","goat","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","18","2.1.0","72239","pl9h32v3f9s","easy2","goat","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","19","2.1.0","76210","pl9h32v3f9s","easy2","goat","1968","b","stimuli/experiment1a/high_A_001.png","high","B","true"
"","","","","","html-keyboard-response","20","2.1.0","76713","pl9h32v3f9s","easy2","goat","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","21","2.1.0","77215","pl9h32v3f9s","easy2","goat","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","22","2.1.0","82576","pl9h32v3f9s","easy2","goat","3358","b","stimuli/experiment1a/high_A_000.png","high","B","true"
"","","","","","html-keyboard-response","23","2.1.0","83079","pl9h32v3f9s","easy2","goat","null","null","<div style=""font-size:60px;"">+</div>","","",""
