"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","107","plt3fbnscud","easy","panda","","","","","",""
"true","","","","","fullscreen","1","2.1.0","7209","plt3fbnscud","easy","panda","6100","","","","",""
"","","","","","survey-text","2","2.1.0","9494","plt3fbnscud","easy","panda","2280","{""participant_id"":""panda""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","12554","plt3fbnscud","easy","panda","3059"," ","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","13056","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","13560","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","18107","plt3fbnscud","easy","panda","2541","a","stimuli/experiment1a/high_A_000.png","high","A","true"
"","","","","","html-keyboard-response","7","2.1.0","18610","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","8","2.1.0","19113","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","9","2.1.0","21963","plt3fbnscud","easy","panda","846","b","stimuli/experiment1a/high_B_111.png","high","B","true"
"","","","","","html-keyboard-response","10","2.1.0","22466","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","11","2.1.0","22969","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","12","2.1.0","27841","plt3fbnscud","easy","panda","2868","b","stimuli/experiment1a/high_B_101.png","high","B","true"
"","","","","","html-keyboard-response","13","2.1.0","28344","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","14","2.1.0","28847","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","15","2.1.0","32297","plt3fbnscud","easy","panda","1447","a","stimuli/experiment1a/high_B_110.png","high","B","false"
"","","","","","html-keyboard-response","16","2.1.0","32800","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","17","2.1.0","35505","plt3fbnscud","easy","panda","700","b","stimuli/experiment1a/high_B_110.png","high","B","true"
"","","","","","html-keyboard-response","18","2.1.0","36008","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","19","2.1.0","36510","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","20","2.1.0","39279","plt3fbnscud","easy","panda","765","b","stimuli/experiment1a/high_B_111.png","high","B","true"
"","","","","","html-keyboard-response","21","2.1.0","39783","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","22","2.1.0","40284","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","23","2.1.0","42783","plt3fbnscud","easy","panda","495","a","stimuli/experiment1a/high_A_010.png","high","A","true"
"","","","","","html-keyboard-response","24","2.1.0","43286","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","25","2.1.0","43789","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","26","2.1.0","46510","plt3fbnscud","easy","panda","717","b","stimuli/experiment1a/high_A_001.png","high","A","false"
"","","","","","html-keyboard-response","27","2.1.0","47013","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","28","2.1.0","49759","plt3fbnscud","easy","panda","742","a","stimuli/experiment1a/high_A_001.png","high","A","true"
"","","","","","html-keyboard-response","29","2.1.0","50262","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","30","2.1.0","50764","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","31","2.1.0","53441","plt3fbnscud","easy","panda","672","a","stimuli/experiment1a/high_A_000.png","high","A","true"
"","","","","","image-keyboard-response","32","null","54994","plt3fbnscud","easy","panda","1548","q","stimuli/experiment_check.webp","","",""
"","","","","","html-keyboard-response","33","2.1.0","56997","plt3fbnscud","easy","panda","null","null","<p>Fluffy blesses you. Good job!</p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","34","2.1.0","58691","plt3fbnscud","easy","panda","1693"," ","<p><strong>TEST BLOCK 1 FINISHED</strong></p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","35","2.1.0","59193","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","36","2.1.0","59695","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","37","2.1.0","62385","plt3fbnscud","easy","panda","686","b","stimuli/experiment1a/high_B_111.png","high","B","true"
"","","","","","html-keyboard-response","38","2.1.0","62888","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","39","2.1.0","63391","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","40","2.1.0","65936","plt3fbnscud","easy","panda","541","b","stimuli/experiment1a/high_B_111.png","high","B","true"
"","","","","","html-keyboard-response","41","2.1.0","66437","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","42","2.1.0","66940","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","43","2.1.0","69449","plt3fbnscud","easy","panda","505","a","stimuli/experiment1a/high_A_000.png","high","A","true"
"","","","","","html-keyboard-response","44","2.1.0","69952","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","45","2.1.0","70454","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","46","2.1.0","73315","plt3fbnscud","easy","panda","858","b","stimuli/experiment1a/high_B_101.png","high","B","true"
"","","","","","html-keyboard-response","47","2.1.0","73818","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","48","2.1.0","74320","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","49","2.1.0","77836","plt3fbnscud","easy","panda","1513","a","stimuli/experiment1a/high_B_110.png","high","B","false"
"","","","","","html-keyboard-response","50","2.1.0","78339","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","51","2.1.0","81217","plt3fbnscud","easy","panda","875","b","stimuli/experiment1a/high_B_110.png","high","B","true"
"","","","","","html-keyboard-response","52","2.1.0","81720","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","53","2.1.0","82223","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","54","2.1.0","84850","plt3fbnscud","easy","panda","623","b","stimuli/experiment1a/high_A_001.png","high","A","false"
"","","","","","html-keyboard-response","55","2.1.0","85353","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","56","2.1.0","88335","plt3fbnscud","easy","panda","978","a","stimuli/experiment1a/high_A_001.png","high","A","true"
"","","","","","html-keyboard-response","57","2.1.0","88839","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","58","2.1.0","89340","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","59","2.1.0","93138","plt3fbnscud","easy","panda","1794","a","stimuli/experiment1a/high_A_010.png","high","A","true"
"","","","","","html-keyboard-response","60","2.1.0","93641","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","61","2.1.0","94144","plt3fbnscud","easy","panda","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","62","2.1.0","96919","plt3fbnscud","easy","panda","768","a","stimuli/experiment1a/high_A_000.png","high","A","true"
"","","","","","image-keyboard-response","63","null","98453","plt3fbnscud","easy","panda","1530","q","stimuli/experiment_check.webp","","",""
