"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","97","pmwedmrrl6u","hard","goldfish","","","","","",""
"true","","","","","fullscreen","1","2.1.0","12878","pmwedmrrl6u","hard","goldfish","11778","","","","",""
"","","","","","survey-text","2","2.1.0","21060","pmwedmrrl6u","hard","goldfish","8178","{""participant_id"":""goldfish""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","33378","pmwedmrrl6u","hard","goldfish","12317"," ","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","33880","pmwedmrrl6u","hard","goldfish","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","34383","pmwedmrrl6u","hard","goldfish","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","42081","pmwedmrrl6u","hard","goldfish","5692","a","stimuli/experiment1a/low_B_111.png","low","B","false"
"","","","","","html-keyboard-response","7","2.1.0","42585","pmwedmrrl6u","hard","goldfish","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","8","2.1.0","45452","pmwedmrrl6u","hard","goldfish","863","b","stimuli/experiment1a/low_B_111.png","low","B","true"
"","","","","","html-keyboard-response","9","2.1.0","45956","pmwedmrrl6u","hard","goldfish","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","10","2.1.0","46458","pmwedmrrl6u","hard","goldfish","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","11","2.1.0","49704","pmwedmrrl6u","hard","goldfish","1242","b","stimuli/experiment1a/low_B_101.png","low","B","true"
"","","","","","html-keyboard-response","12","2.1.0","50207","pmwedmrrl6u","hard","goldfish","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","13","2.1.0","50709","pmwedmrrl6u","hard","goldfish","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","14","2.1.0","53614","pmwedmrrl6u","hard","goldfish","901","a","stimuli/experiment1a/low_B_110.png","low","B","false"
"","","","","","html-keyboard-response","15","2.1.0","54117","pmwedmrrl6u","hard","goldfish","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","16","2.1.0","56532","pmwedmrrl6u","hard","goldfish","410","b","stimuli/experiment1a/low_B_110.png","low","B","true"
"","","","","","html-keyboard-response","17","2.1.0","57035","pmwedmrrl6u","hard","goldfish","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","18","2.1.0","57537","pmwedmrrl6u","hard","goldfish","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","19","2.1.0","61156","pmwedmrrl6u","hard","goldfish","1615","a","stimuli/experiment1a/low_A_000.png","low","A","true"
"","","","","","html-keyboard-response","20","2.1.0","61659","pmwedmrrl6u","hard","goldfish","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","21","2.1.0","62161","pmwedmrrl6u","hard","goldfish","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","22","2.1.0","65577","pmwedmrrl6u","hard","goldfish","1412","a","stimuli/experiment1a/low_A_001.png","low","A","true"
"","","","","","html-keyboard-response","23","2.1.0","66080","pmwedmrrl6u","hard","goldfish","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","24","2.1.0","66583","pmwedmrrl6u","hard","goldfish","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","25","2.1.0","69153","pmwedmrrl6u","hard","goldfish","567","a","stimuli/experiment1a/low_A_000.png","low","A","true"
"","","","","","html-keyboard-response","26","2.1.0","69656","pmwedmrrl6u","hard","goldfish","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","27","2.1.0","70158","pmwedmrrl6u","hard","goldfish","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","28","2.1.0","72594","pmwedmrrl6u","hard","goldfish","432","b","stimuli/experiment1a/low_B_111.png","low","B","true"
"","","","","","html-keyboard-response","29","2.1.0","73097","pmwedmrrl6u","hard","goldfish","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","30","2.1.0","73599","pmwedmrrl6u","hard","goldfish","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","31","2.1.0","75977","pmwedmrrl6u","hard","goldfish","374","a","stimuli/experiment1a/low_A_010.png","low","A","true"
"","","","","","image-keyboard-response","32","null","77809","pmwedmrrl6u","hard","goldfish","1828","q","stimuli/experiment_check.webp","","",""
"","","","","","html-keyboard-response","33","2.1.0","79260","pmwedmrrl6u","hard","goldfish","1450","a","<p>Fluffy blesses you. Good job!</p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","34","2.1.0","80155","pmwedmrrl6u","hard","goldfish","894"," ","<p><strong>TEST BLOCK 1 FINISHED</strong></p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","35","2.1.0","80656","pmwedmrrl6u","hard","goldfish","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","36","2.1.0","81159","pmwedmrrl6u","hard","goldfish","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","37","2.1.0","84867","pmwedmrrl6u","hard","goldfish","1705","a","stimuli/experiment1a/low_B_101.png","low","B","false"
"","","","","","html-keyboard-response","38","2.1.0","85370","pmwedmrrl6u","hard","goldfish","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","39","2.1.0","87647","pmwedmrrl6u","hard","goldfish","274","b","stimuli/experiment1a/low_B_101.png","low","B","true"
"","","","","","html-keyboard-response","40","2.1.0","88150","pmwedmrrl6u","hard","goldfish","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","41","2.1.0","88652","pmwedmrrl6u","hard","goldfish","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","42","2.1.0","91464","pmwedmrrl6u","hard","goldfish","808","b","stimuli/experiment1a/low_A_001.png","low","A","false"
"","","","","","html-keyboard-response","43","2.1.0","91966","pmwedmrrl6u","hard","goldfish","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","44","2.1.0","94261","pmwedmrrl6u","hard","goldfish","291","a","stimuli/experiment1a/low_A_001.png","low","A","true"
"","","","","","html-keyboard-response","45","2.1.0","94764","pmwedmrrl6u","hard","goldfish","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","46","2.1.0","95265","pmwedmrrl6u","hard","goldfish","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","47","2.1.0","99652","pmwedmrrl6u","hard","goldfish","2383","a","stimuli/experiment1a/low_B_110.png","low","B","false"
"","","","","","html-keyboard-response","48","2.1.0","100154","pmwedmrrl6u","hard","goldfish","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","49","2.1.0","102325","pmwedmrrl6u","hard","goldfish","166","b","stimuli/experiment1a/low_B_110.png","low","B","true"
"","","","","","html-keyboard-response","50","2.1.0","102828","pmwedmrrl6u","hard","goldfish","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","51","2.1.0","103330","pmwedmrrl6u","hard","goldfish","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","52","2.1.0","107763","pmwedmrrl6u","hard","goldfish","2429","b","stimuli/experiment1a/low_B_111.png","low","B","true"
"","","","","","html-keyboard-response","53","2.1.0","108267","pmwedmrrl6u","hard","goldfish","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","54","2.1.0","108768","pmwedmrrl6u","hard","goldfish","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","55","2.1.0","111458","pmwedmrrl6u","hard","goldfish","687","a","stimuli/experiment1a/low_A_000.png","low","A","true"
