"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","38","podxxu4bs93","hard2","frog","","","","","",""
"true","","","","","fullscreen","1","2.1.0","2265","podxxu4bs93","hard2","frog","1222","","","","",""
"","","","","","survey-text","2","2.1.0","5278","podxxu4bs93","hard2","frog","3008","{""participant_id"":""frog""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","15891","podxxu4bs93","hard2","frog","10611"," ","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","16393","podxxu4bs93","hard2","frog","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","16897","podxxu4bs93","hard2","frog","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","23161","podxxu4bs93","hard2","frog","4258","a","stimuli/experiment1a/low_B_111.png","low","A","true"
"","","","","","html-keyboard-response","7","2.1.0","23666","podxxu4bs93","hard2","frog","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","8","2.1.0","24169","podxxu4bs93","hard2","frog","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","9","2.1.0","30759","podxxu4bs93","hard2","frog","4585","a","stimuli/experiment1a/low_B_111.png","low","A","true"
"","","","","","html-keyboard-response","10","2.1.0","31264","podxxu4bs93","hard2","frog","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","11","2.1.0","31766","podxxu4bs93","hard2","frog","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","12","2.1.0","36034","podxxu4bs93","hard2","frog","2264","b","stimuli/experiment1a/low_B_110.png","low","A","false"
"","","","","","html-keyboard-response","13","2.1.0","36537","podxxu4bs93","hard2","frog","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","14","2.1.0","39694","podxxu4bs93","hard2","frog","1153","a","stimuli/experiment1a/low_B_110.png","low","A","true"
"","","","","","html-keyboard-response","15","2.1.0","40198","podxxu4bs93","hard2","frog","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","16","2.1.0","40701","podxxu4bs93","hard2","frog","null","null","<div style=""font-size:60px;"">+</div>","","",""
