"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","336","pp6shfq8jw6","hard","lynx","","","","","",""
"true","","","","","fullscreen","1","2.1.0","21805","pp6shfq8jw6","hard","lynx","20466","","","","",""
"","","","","","survey-text","2","2.1.0","29381","pp6shfq8jw6","hard","lynx","7567","{""participant_id"":""lynx""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","36723","pp6shfq8jw6","hard","lynx","7340","b","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","37224","pp6shfq8jw6","hard","lynx","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","37730","pp6shfq8jw6","hard","lynx","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","42104","pp6shfq8jw6","hard","lynx","2367","b","stimuli/experiment1a/low_A_001.png","low","A","false"
"","","","","","html-keyboard-response","7","2.1.0","42607","pp6shfq8jw6","hard","lynx","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","8","2.1.0","45214","pp6shfq8jw6","hard","lynx","603","a","stimuli/experiment1a/low_A_001.png","low","A","true"
"","","","","","html-keyboard-response","9","2.1.0","45720","pp6shfq8jw6","hard","lynx","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","10","2.1.0","46223","pp6shfq8jw6","hard","lynx","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","11","2.1.0","48737","pp6shfq8jw6","hard","lynx","509","b","stimuli/experiment1a/low_B_101.png","low","B","true"
"","","","","","html-keyboard-response","12","2.1.0","49242","pp6shfq8jw6","hard","lynx","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","13","2.1.0","49744","pp6shfq8jw6","hard","lynx","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","14","2.1.0","52303","pp6shfq8jw6","hard","lynx","554","b","stimuli/experiment1a/low_B_111.png","low","B","true"
"","","","","","html-keyboard-response","15","2.1.0","52807","pp6shfq8jw6","hard","lynx","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","16","2.1.0","53310","pp6shfq8jw6","hard","lynx","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","17","2.1.0","56113","pp6shfq8jw6","hard","lynx","798","b","stimuli/experiment1a/low_B_110.png","low","B","true"
"","","","","","html-keyboard-response","18","2.1.0","56618","pp6shfq8jw6","hard","lynx","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","19","2.1.0","57120","pp6shfq8jw6","hard","lynx","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","20","2.1.0","59747","pp6shfq8jw6","hard","lynx","623","a","stimuli/experiment1a/low_A_000.png","low","A","true"
"","","","","","html-keyboard-response","21","2.1.0","60251","pp6shfq8jw6","hard","lynx","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","22","2.1.0","60753","pp6shfq8jw6","hard","lynx","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","23","2.1.0","63254","pp6shfq8jw6","hard","lynx","496","b","stimuli/experiment1a/low_B_111.png","low","B","true"
"","","","","","html-keyboard-response","24","2.1.0","63759","pp6shfq8jw6","hard","lynx","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","25","2.1.0","64261","pp6shfq8jw6","hard","lynx","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","26","2.1.0","66991","pp6shfq8jw6","hard","lynx","724","a","stimuli/experiment1a/low_A_000.png","low","A","true"
"","","","","","html-keyboard-response","27","2.1.0","67495","pp6shfq8jw6","hard","lynx","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","28","2.1.0","67997","pp6shfq8jw6","hard","lynx","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","29","2.1.0","70582","pp6shfq8jw6","hard","lynx","580","a","stimuli/experiment1a/low_A_010.png","low","A","true"
"","","","","","image-keyboard-response","30","null","71768","pp6shfq8jw6","hard","lynx","1180","q","stimuli/experiment_check.webp","","",""
"","","","","","html-keyboard-response","31","2.1.0","73772","pp6shfq8jw6","hard","lynx","null","null","<p>Fluffy blesses you. Good job!</p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","32","2.1.0","73986","pp6shfq8jw6","hard","lynx","213","b","<p><strong>TEST BLOCK 1 FINISHED</strong></p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","33","2.1.0","74488","pp6shfq8jw6","hard","lynx","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","34","2.1.0","74990","pp6shfq8jw6","hard","lynx","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","35","2.1.0","78023","pp6shfq8jw6","hard","lynx","1027","b","stimuli/experiment1a/low_B_111.png","low","B","true"
