"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","123","ppuffq52r3u","hard2","dolphin","","","","","",""
"true","","","","","fullscreen","1","2.1.0","55659","ppuffq52r3u","hard2","dolphin","54532","","","","",""
"","","","","","survey-text","2","2.1.0","123997","ppuffq52r3u","hard2","dolphin","68334","{""participant_id"":""dolphin""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","133444","ppuffq52r3u","hard2","dolphin","9445","Enter","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","133947","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","134450","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","146754","ppuffq52r3u","hard2","dolphin","10299","a","stimuli/experiment1a/low_A_000.png","low","B","false"
"","","","","","html-keyboard-response","7","2.1.0","147258","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","8","2.1.0","150848","ppuffq52r3u","hard2","dolphin","1585","b","stimuli/experiment1a/low_A_000.png","low","B","true"
"","","","","","html-keyboard-response","9","2.1.0","151352","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","10","2.1.0","151854","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","11","2.1.0","160287","ppuffq52r3u","hard2","dolphin","6430","b","stimuli/experiment1a/low_A_001.png","low","B","true"
"","","","","","html-keyboard-response","12","2.1.0","160792","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","13","2.1.0","161294","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","14","2.1.0","165075","ppuffq52r3u","hard2","dolphin","1776","a","stimuli/experiment1a/low_B_111.png","low","A","true"
"","","","","","html-keyboard-response","15","2.1.0","165579","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","16","2.1.0","166081","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","17","2.1.0","168902","ppuffq52r3u","hard2","dolphin","817","a","stimuli/experiment1a/low_B_110.png","low","A","true"
"","","","","","html-keyboard-response","18","2.1.0","169406","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","19","2.1.0","169908","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","20","2.1.0","173009","ppuffq52r3u","hard2","dolphin","1096","b","stimuli/experiment1a/low_A_000.png","low","B","true"
"","","","","","html-keyboard-response","21","2.1.0","173513","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","22","2.1.0","174015","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","23","2.1.0","176728","ppuffq52r3u","hard2","dolphin","709","a","stimuli/experiment1a/low_A_010.png","low","B","false"
"","","","","","html-keyboard-response","24","2.1.0","177231","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","25","2.1.0","180079","ppuffq52r3u","hard2","dolphin","843","b","stimuli/experiment1a/low_A_010.png","low","B","true"
"","","","","","html-keyboard-response","26","2.1.0","180583","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","27","2.1.0","181085","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","28","2.1.0","184293","ppuffq52r3u","hard2","dolphin","1204","a","stimuli/experiment1a/low_B_101.png","low","A","true"
"","","","","","html-keyboard-response","29","2.1.0","184797","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","30","2.1.0","185300","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","31","2.1.0","189175","ppuffq52r3u","hard2","dolphin","1871","a","stimuli/experiment1a/low_B_111.png","low","A","true"
"","","","","","image-keyboard-response","32","null","192636","ppuffq52r3u","hard2","dolphin","3455","q","stimuli/experiment_check.webp","","",""
"","","","","","html-keyboard-response","33","2.1.0","194640","ppuffq52r3u","hard2","dolphin","null","null","<p>Fluffy blesses you. Good job!</p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","34","2.1.0","196962","ppuffq52r3u","hard2","dolphin","2320"," ","<p><strong>TEST BLOCK 1 FINISHED</strong></p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","35","2.1.0","197464","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","36","2.1.0","197966","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","37","2.1.0","203025","ppuffq52r3u","hard2","dolphin","3055","a","stimuli/experiment1a/low_A_001.png","low","B","false"
"","","","","","html-keyboard-response","38","2.1.0","203528","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","39","2.1.0","206048","ppuffq52r3u","hard2","dolphin","515","b","stimuli/experiment1a/low_A_001.png","low","B","true"
"","","","","","html-keyboard-response","40","2.1.0","206551","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","41","2.1.0","207054","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","42","2.1.0","210522","ppuffq52r3u","hard2","dolphin","1464","a","stimuli/experiment1a/low_A_000.png","low","B","false"
"","","","","","html-keyboard-response","43","2.1.0","211026","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","44","2.1.0","213995","ppuffq52r3u","hard2","dolphin","964","b","stimuli/experiment1a/low_A_000.png","low","B","true"
"","","","","","html-keyboard-response","45","2.1.0","214498","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","46","2.1.0","215001","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","47","2.1.0","217916","ppuffq52r3u","hard2","dolphin","911","a","stimuli/experiment1a/low_B_111.png","low","A","true"
"","","","","","html-keyboard-response","48","2.1.0","218420","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","49","2.1.0","218923","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","50","2.1.0","221604","ppuffq52r3u","hard2","dolphin","678","a","stimuli/experiment1a/low_B_111.png","low","A","true"
"","","","","","html-keyboard-response","51","2.1.0","222108","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","52","2.1.0","222610","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","53","2.1.0","225958","ppuffq52r3u","hard2","dolphin","1344","b","stimuli/experiment1a/low_A_010.png","low","B","true"
"","","","","","html-keyboard-response","54","2.1.0","226462","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","55","2.1.0","226964","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","56","2.1.0","230236","ppuffq52r3u","hard2","dolphin","1267","b","stimuli/experiment1a/low_A_000.png","low","B","true"
"","","","","","html-keyboard-response","57","2.1.0","230740","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","58","2.1.0","231242","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","59","2.1.0","233947","ppuffq52r3u","hard2","dolphin","701","a","stimuli/experiment1a/low_B_101.png","low","A","true"
"","","","","","html-keyboard-response","60","2.1.0","234452","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","61","2.1.0","234954","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","62","2.1.0","237567","ppuffq52r3u","hard2","dolphin","609","a","stimuli/experiment1a/low_B_110.png","low","A","true"
"","","","","","image-keyboard-response","63","null","239180","ppuffq52r3u","hard2","dolphin","1610","q","stimuli/experiment_check.webp","","",""
"","","","","","html-keyboard-response","64","2.1.0","241147","ppuffq52r3u","hard2","dolphin","1966"," ","<p>Fluffy blesses you. Good job!</p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","65","2.1.0","247667","ppuffq52r3u","hard2","dolphin","6518"," ","<p><strong>TEST BLOCK 2 FINISHED</strong></p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","66","2.1.0","248169","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","67","2.1.0","248671","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","68","2.1.0","251337","ppuffq52r3u","hard2","dolphin","661","a","stimuli/experiment1a/low_B_101.png","low","A","true"
"","","","","","html-keyboard-response","69","2.1.0","251840","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","70","2.1.0","252342","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","71","2.1.0","254851","ppuffq52r3u","hard2","dolphin","505","b","stimuli/experiment1a/low_A_000.png","low","B","true"
"","","","","","html-keyboard-response","72","2.1.0","255355","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","73","2.1.0","255857","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","74","2.1.0","258478","ppuffq52r3u","hard2","dolphin","615","a","stimuli/experiment1a/low_B_110.png","low","A","true"
"","","","","","html-keyboard-response","75","2.1.0","258981","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","76","2.1.0","259484","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","77","2.1.0","262179","ppuffq52r3u","hard2","dolphin","691","a","stimuli/experiment1a/low_B_111.png","low","A","true"
"","","","","","html-keyboard-response","78","2.1.0","262683","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","79","2.1.0","263185","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","80","2.1.0","265677","ppuffq52r3u","hard2","dolphin","489","a","stimuli/experiment1a/low_A_000.png","low","B","false"
"","","","","","html-keyboard-response","81","2.1.0","266180","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","82","2.1.0","268591","ppuffq52r3u","hard2","dolphin","406","b","stimuli/experiment1a/low_A_000.png","low","B","true"
"","","","","","html-keyboard-response","83","2.1.0","269094","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","84","2.1.0","269596","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","85","2.1.0","272094","ppuffq52r3u","hard2","dolphin","493","b","stimuli/experiment1a/low_A_010.png","low","B","true"
"","","","","","html-keyboard-response","86","2.1.0","272598","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","87","2.1.0","273100","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","88","2.1.0","276189","ppuffq52r3u","hard2","dolphin","1084","a","stimuli/experiment1a/low_A_001.png","low","B","false"
"","","","","","html-keyboard-response","89","2.1.0","276692","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","90","2.1.0","279298","ppuffq52r3u","hard2","dolphin","603","b","stimuli/experiment1a/low_A_001.png","low","B","true"
"","","","","","html-keyboard-response","91","2.1.0","279802","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","92","2.1.0","280304","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","93","2.1.0","283773","ppuffq52r3u","hard2","dolphin","1465","a","stimuli/experiment1a/low_B_111.png","low","A","true"
"","","","","","image-keyboard-response","94","null","285006","ppuffq52r3u","hard2","dolphin","1230","q","stimuli/experiment_check.webp","","",""
"","","","","","html-keyboard-response","95","2.1.0","286820","ppuffq52r3u","hard2","dolphin","1812"," ","<p>Fluffy blesses you. Good job!</p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","96","2.1.0","288013","ppuffq52r3u","hard2","dolphin","1192"," ","<p><strong>TEST BLOCK 3 FINISHED</strong></p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","97","2.1.0","288515","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","98","2.1.0","289018","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","99","2.1.0","291912","ppuffq52r3u","hard2","dolphin","890","a","stimuli/experiment1a/low_A_000.png","low","B","false"
"","","","","","html-keyboard-response","100","2.1.0","292415","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","101","2.1.0","295123","ppuffq52r3u","hard2","dolphin","704","b","stimuli/experiment1a/low_A_000.png","low","B","true"
"","","","","","html-keyboard-response","102","2.1.0","295627","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","103","2.1.0","296130","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","104","2.1.0","299214","ppuffq52r3u","hard2","dolphin","1079","a","stimuli/experiment1a/low_B_111.png","low","A","true"
"","","","","","html-keyboard-response","105","2.1.0","299717","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","106","2.1.0","300219","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","107","2.1.0","303083","ppuffq52r3u","hard2","dolphin","860","b","stimuli/experiment1a/low_A_001.png","low","B","true"
"","","","","","html-keyboard-response","108","2.1.0","303587","ppuffq52r3u","hard2","dolphin","null","null","<div style=""font-size:60px;"">+</div>","","",""
