"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","33","pr5ej2cvmxk","easy","meerkat","","","","","",""
"true","","","","","fullscreen","1","2.1.0","2238","pr5ej2cvmxk","easy","meerkat","1202","","","","",""
"","","","","","survey-text","2","2.1.0","5070","pr5ej2cvmxk","easy","meerkat","2827","{""participant_id"":""meerkat""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","9128","pr5ej2cvmxk","easy","meerkat","4057"," ","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","9630","pr5ej2cvmxk","easy","meerkat","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","10133","pr5ej2cvmxk","easy","meerkat","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","18952","pr5ej2cvmxk","easy","meerkat","6811","a","stimuli/experiment1a/high_A_001.png","high","A","true"
"","","","","","html-keyboard-response","7","2.1.0","19456","pr5ej2cvmxk","easy","meerkat","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","8","2.1.0","19958","pr5ej2cvmxk","easy","meerkat","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","9","2.1.0","23018","pr5ej2cvmxk","easy","meerkat","1055","b","stimuli/experiment1a/high_A_000.png","high","A","false"
"","","","","","html-keyboard-response","10","2.1.0","23521","pr5ej2cvmxk","easy","meerkat","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","11","2.1.0","27443","pr5ej2cvmxk","easy","meerkat","1918","a","stimuli/experiment1a/high_A_000.png","high","A","true"
"","","","","","html-keyboard-response","12","2.1.0","27946","pr5ej2cvmxk","easy","meerkat","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","13","2.1.0","28449","pr5ej2cvmxk","easy","meerkat","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","14","2.1.0","31444","pr5ej2cvmxk","easy","meerkat","990","b","stimuli/experiment1a/high_B_111.png","high","B","true"
"","","","","","html-keyboard-response","15","2.1.0","31947","pr5ej2cvmxk","easy","meerkat","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","16","2.1.0","32449","pr5ej2cvmxk","easy","meerkat","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","17","2.1.0","35188","pr5ej2cvmxk","easy","meerkat","735","b","stimuli/experiment1a/high_B_111.png","high","B","true"
"","","","","","html-keyboard-response","18","2.1.0","35691","pr5ej2cvmxk","easy","meerkat","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","19","2.1.0","36193","pr5ej2cvmxk","easy","meerkat","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","20","2.1.0","39656","pr5ej2cvmxk","easy","meerkat","1459","a","stimuli/experiment1a/high_A_010.png","high","A","true"
"","","","","","html-keyboard-response","21","2.1.0","40159","pr5ej2cvmxk","easy","meerkat","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","22","2.1.0","40661","pr5ej2cvmxk","easy","meerkat","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","23","2.1.0","43501","pr5ej2cvmxk","easy","meerkat","836","a","stimuli/experiment1a/high_A_000.png","high","A","true"
"","","","","","html-keyboard-response","24","2.1.0","44004","pr5ej2cvmxk","easy","meerkat","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","25","2.1.0","44506","pr5ej2cvmxk","easy","meerkat","null","null","<div style=""font-size:60px;"">+</div>","","",""
