"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","105","prz5p18pff9","easy","pony","","","","","",""
"true","","","","","fullscreen","1","2.1.0","33137","prz5p18pff9","easy","pony","32031","","","","",""
"","","","","","survey-text","2","2.1.0","37069","prz5p18pff9","easy","pony","3916","{""participant_id"":""pony""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","46003","prz5p18pff9","easy","pony","8931","n","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","46505","prz5p18pff9","easy","pony","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","47007","prz5p18pff9","easy","pony","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","53092","prz5p18pff9","easy","pony","4081","a","stimuli/experiment1a/high_A_000.png","high","A","true"
"","","","","","html-keyboard-response","7","2.1.0","53596","prz5p18pff9","easy","pony","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","8","2.1.0","54098","prz5p18pff9","easy","pony","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","9","2.1.0","57356","prz5p18pff9","easy","pony","1255","b","stimuli/experiment1a/high_A_010.png","high","A","false"
"","","","","","html-keyboard-response","10","2.1.0","57858","prz5p18pff9","easy","pony","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","11","2.1.0","60523","prz5p18pff9","easy","pony","662","a","stimuli/experiment1a/high_A_010.png","high","A","true"
"","","","","","html-keyboard-response","12","2.1.0","61026","prz5p18pff9","easy","pony","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","13","2.1.0","61528","prz5p18pff9","easy","pony","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","14","2.1.0","64374","prz5p18pff9","easy","pony","844","b","stimuli/experiment1a/high_A_001.png","high","A","false"
"","","","","","html-keyboard-response","15","2.1.0","64876","prz5p18pff9","easy","pony","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","16","2.1.0","67461","prz5p18pff9","easy","pony","583","a","stimuli/experiment1a/high_A_001.png","high","A","true"
"","","","","","html-keyboard-response","17","2.1.0","67964","prz5p18pff9","easy","pony","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","18","2.1.0","68466","prz5p18pff9","easy","pony","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","19","2.1.0","71062","prz5p18pff9","easy","pony","594","a","stimuli/experiment1a/high_B_101.png","high","B","false"
"","","","","","html-keyboard-response","20","2.1.0","71565","prz5p18pff9","easy","pony","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","21","2.1.0","73946","prz5p18pff9","easy","pony","378","b","stimuli/experiment1a/high_B_101.png","high","B","true"
"","","","","","html-keyboard-response","22","2.1.0","74448","prz5p18pff9","easy","pony","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","23","2.1.0","74951","prz5p18pff9","easy","pony","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","24","2.1.0","77650","prz5p18pff9","easy","pony","696","b","stimuli/experiment1a/high_B_111.png","high","B","true"
"","","","","","html-keyboard-response","25","2.1.0","78153","prz5p18pff9","easy","pony","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","26","2.1.0","78654","prz5p18pff9","easy","pony","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","27","2.1.0","81109","prz5p18pff9","easy","pony","451","a","stimuli/experiment1a/high_A_000.png","high","A","true"
"","","","","","html-keyboard-response","28","2.1.0","81610","prz5p18pff9","easy","pony","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","29","2.1.0","82113","prz5p18pff9","easy","pony","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","30","2.1.0","84693","prz5p18pff9","easy","pony","576","b","stimuli/experiment1a/high_B_111.png","high","B","true"
"","","","","","html-keyboard-response","31","2.1.0","85196","prz5p18pff9","easy","pony","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","32","2.1.0","85698","prz5p18pff9","easy","pony","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","33","2.1.0","88059","prz5p18pff9","easy","pony","358","b","stimuli/experiment1a/high_B_110.png","high","B","true"
"","","","","","image-keyboard-response","34","null","88982","prz5p18pff9","easy","pony","900","b","stimuli/experiment_check.webp","","",""
"","","","","","html-keyboard-response","35","2.1.0","90984","prz5p18pff9","easy","pony","null","null","<p>Fluffy is angered. Make sure to focus!</p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","36","2.1.0","91025","prz5p18pff9","easy","pony","39"," ","<p><strong>TEST BLOCK 1 FINISHED</strong></p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","37","2.1.0","91526","prz5p18pff9","easy","pony","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","38","2.1.0","92027","prz5p18pff9","easy","pony","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","39","2.1.0","96674","prz5p18pff9","easy","pony","2644","b","stimuli/experiment1a/high_B_110.png","high","B","true"
"","","","","","html-keyboard-response","40","2.1.0","97177","prz5p18pff9","easy","pony","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","41","2.1.0","97680","prz5p18pff9","easy","pony","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","42","2.1.0","100333","prz5p18pff9","easy","pony","649","b","stimuli/experiment1a/high_B_111.png","high","B","true"
"","","","","","html-keyboard-response","43","2.1.0","100836","prz5p18pff9","easy","pony","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","44","2.1.0","101338","prz5p18pff9","easy","pony","null","null","<div style=""font-size:60px;"">+</div>","","",""
