"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","116","ps5xzg7dy1u","easy2","squirrel","","","","","",""
"true","","","","","fullscreen","1","2.1.0","26832","ps5xzg7dy1u","easy2","squirrel","25698","","","","",""
"","","","","","survey-text","2","2.1.0","28849","ps5xzg7dy1u","easy2","squirrel","2011","{""participant_id"":""squirrel""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","33124","ps5xzg7dy1u","easy2","squirrel","4272"," ","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","33630","ps5xzg7dy1u","easy2","squirrel","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","34145","ps5xzg7dy1u","easy2","squirrel","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","37724","ps5xzg7dy1u","easy2","squirrel","1570","a","stimuli/experiment1a/high_B_111.png","high","A","true"
"","","","","","html-keyboard-response","7","2.1.0","38231","ps5xzg7dy1u","easy2","squirrel","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","8","2.1.0","38744","ps5xzg7dy1u","easy2","squirrel","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","9","2.1.0","41602","ps5xzg7dy1u","easy2","squirrel","848","a","stimuli/experiment1a/high_B_111.png","high","A","true"
"","","","","","html-keyboard-response","10","2.1.0","42118","ps5xzg7dy1u","easy2","squirrel","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","11","2.1.0","42620","ps5xzg7dy1u","easy2","squirrel","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","12","2.1.0","46602","ps5xzg7dy1u","easy2","squirrel","1970","b","stimuli/experiment1a/high_A_010.png","high","B","true"
"","","","","","html-keyboard-response","13","2.1.0","47119","ps5xzg7dy1u","easy2","squirrel","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","14","2.1.0","47630","ps5xzg7dy1u","easy2","squirrel","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","15","2.1.0","50563","ps5xzg7dy1u","easy2","squirrel","930","a","stimuli/experiment1a/high_A_000.png","high","B","false"
"","","","","","html-keyboard-response","16","2.1.0","51077","ps5xzg7dy1u","easy2","squirrel","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","17","2.1.0","53744","ps5xzg7dy1u","easy2","squirrel","653","b","stimuli/experiment1a/high_A_000.png","high","B","true"
"","","","","","html-keyboard-response","18","2.1.0","54260","ps5xzg7dy1u","easy2","squirrel","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","19","2.1.0","54772","ps5xzg7dy1u","easy2","squirrel","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","20","2.1.0","57360","ps5xzg7dy1u","easy2","squirrel","578","a","stimuli/experiment1a/high_B_110.png","high","A","true"
"","","","","","html-keyboard-response","21","2.1.0","57871","ps5xzg7dy1u","easy2","squirrel","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","22","2.1.0","58380","ps5xzg7dy1u","easy2","squirrel","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","23","2.1.0","61144","ps5xzg7dy1u","easy2","squirrel","759","b","stimuli/experiment1a/high_B_101.png","high","A","false"
"","","","","","html-keyboard-response","24","2.1.0","61648","ps5xzg7dy1u","easy2","squirrel","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","25","2.1.0","64365","ps5xzg7dy1u","easy2","squirrel","711","a","stimuli/experiment1a/high_B_101.png","high","A","true"
"","","","","","html-keyboard-response","26","2.1.0","64870","ps5xzg7dy1u","easy2","squirrel","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","27","2.1.0","65382","ps5xzg7dy1u","easy2","squirrel","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","28","2.1.0","68853","ps5xzg7dy1u","easy2","squirrel","1459","b","stimuli/experiment1a/high_A_001.png","high","B","true"
"","","","","","html-keyboard-response","29","2.1.0","69361","ps5xzg7dy1u","easy2","squirrel","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","30","2.1.0","69867","ps5xzg7dy1u","easy2","squirrel","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","31","2.1.0","72961","ps5xzg7dy1u","easy2","squirrel","1084","b","stimuli/experiment1a/high_A_000.png","high","B","true"
