"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","147","psf9xpxsuye","easy","beaver","","","","","",""
"true","","","","","fullscreen","1","2.1.0","107642","psf9xpxsuye","easy","beaver","106480","","","","",""
"","","","","","survey-text","2","2.1.0","118896","psf9xpxsuye","easy","beaver","11240","{""participant_id"":""beaver""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","124837","psf9xpxsuye","easy","beaver","5938","AudioVolumeUp","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","125362","psf9xpxsuye","easy","beaver","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","125872","psf9xpxsuye","easy","beaver","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","135859","psf9xpxsuye","easy","beaver","7974","a","stimuli/experiment1a/high_B_111.png","high","B","false"
"","","","","","html-keyboard-response","7","2.1.0","136371","psf9xpxsuye","easy","beaver","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","8","2.1.0","139859","psf9xpxsuye","easy","beaver","1472","b","stimuli/experiment1a/high_B_111.png","high","B","true"
"","","","","","html-keyboard-response","9","2.1.0","140362","psf9xpxsuye","easy","beaver","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","10","2.1.0","140870","psf9xpxsuye","easy","beaver","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","11","2.1.0","144392","psf9xpxsuye","easy","beaver","1511","a","stimuli/experiment1a/high_B_110.png","high","B","false"
"","","","","","html-keyboard-response","12","2.1.0","144900","psf9xpxsuye","easy","beaver","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","13","2.1.0","147717","psf9xpxsuye","easy","beaver","813","b","stimuli/experiment1a/high_B_110.png","high","B","true"
"","","","","","html-keyboard-response","14","2.1.0","148229","psf9xpxsuye","easy","beaver","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","15","2.1.0","148740","psf9xpxsuye","easy","beaver","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","16","2.1.0","151749","psf9xpxsuye","easy","beaver","999","a","stimuli/experiment1a/high_A_000.png","high","A","true"
"","","","","","html-keyboard-response","17","2.1.0","152265","psf9xpxsuye","easy","beaver","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","18","2.1.0","152770","psf9xpxsuye","easy","beaver","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","19","2.1.0","155893","psf9xpxsuye","easy","beaver","1109","a","stimuli/experiment1a/high_A_001.png","high","A","true"
"","","","","","html-keyboard-response","20","2.1.0","156402","psf9xpxsuye","easy","beaver","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","21","2.1.0","156912","psf9xpxsuye","easy","beaver","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","22","2.1.0","159586","psf9xpxsuye","easy","beaver","662","b","stimuli/experiment1a/high_B_111.png","high","B","true"
"","","","","","html-keyboard-response","23","2.1.0","160094","psf9xpxsuye","easy","beaver","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","24","2.1.0","160604","psf9xpxsuye","easy","beaver","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","25","2.1.0","163659","psf9xpxsuye","easy","beaver","1040","a","stimuli/experiment1a/high_B_101.png","high","B","false"
"","","","","","html-keyboard-response","26","2.1.0","164162","psf9xpxsuye","easy","beaver","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","27","2.1.0","166782","psf9xpxsuye","easy","beaver","616","b","stimuli/experiment1a/high_B_101.png","high","B","true"
"","","","","","html-keyboard-response","28","2.1.0","167286","psf9xpxsuye","easy","beaver","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","29","2.1.0","167811","psf9xpxsuye","easy","beaver","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","30","2.1.0","170588","psf9xpxsuye","easy","beaver","759","a","stimuli/experiment1a/high_A_010.png","high","A","true"
"","","","","","html-keyboard-response","31","2.1.0","171096","psf9xpxsuye","easy","beaver","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","32","2.1.0","171602","psf9xpxsuye","easy","beaver","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","33","2.1.0","174454","psf9xpxsuye","easy","beaver","835","a","stimuli/experiment1a/high_A_000.png","high","A","true"
"","","","","","image-keyboard-response","34","null","177609","psf9xpxsuye","easy","beaver","3147","q","stimuli/experiment_check.webp","","",""
"","","","","","html-keyboard-response","35","2.1.0","179622","psf9xpxsuye","easy","beaver","null","null","<p>Fluffy blesses you. Good job!</p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","36","2.1.0","179842","psf9xpxsuye","easy","beaver","219"," ","<p><strong>TEST BLOCK 1 FINISHED</strong></p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","37","2.1.0","180358","psf9xpxsuye","easy","beaver","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","38","2.1.0","180864","psf9xpxsuye","easy","beaver","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","39","2.1.0","184094","psf9xpxsuye","easy","beaver","1209","a","stimuli/experiment1a/high_A_000.png","high","A","true"
"","","","","","html-keyboard-response","40","2.1.0","184598","psf9xpxsuye","easy","beaver","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","41","2.1.0","185112","psf9xpxsuye","easy","beaver","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","42","2.1.0","187777","psf9xpxsuye","easy","beaver","659","b","stimuli/experiment1a/high_B_101.png","high","B","true"
"","","","","","html-keyboard-response","43","2.1.0","188287","psf9xpxsuye","easy","beaver","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","44","2.1.0","188803","psf9xpxsuye","easy","beaver","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","45","2.1.0","191562","psf9xpxsuye","easy","beaver","741","b","stimuli/experiment1a/high_B_111.png","high","B","true"
"","","","","","html-keyboard-response","46","2.1.0","192078","psf9xpxsuye","easy","beaver","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","47","2.1.0","192587","psf9xpxsuye","easy","beaver","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","48","2.1.0","195207","psf9xpxsuye","easy","beaver","602","a","stimuli/experiment1a/high_A_000.png","high","A","true"
"","","","","","html-keyboard-response","49","2.1.0","195716","psf9xpxsuye","easy","beaver","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","50","2.1.0","196237","psf9xpxsuye","easy","beaver","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","51","2.1.0","202412","psf9xpxsuye","easy","beaver","4156","b","stimuli/experiment1a/high_B_110.png","high","B","true"
"","","","","","html-keyboard-response","52","2.1.0","202920","psf9xpxsuye","easy","beaver","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","53","2.1.0","203427","psf9xpxsuye","easy","beaver","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","54","2.1.0","206196","psf9xpxsuye","easy","beaver","757","b","stimuli/experiment1a/high_B_111.png","high","B","true"
