"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","1258","ptx5y7g8e89","hard2","swan","","","","","",""
"true","","","","","fullscreen","1","2.1.0","63706","ptx5y7g8e89","hard2","swan","61444","","","","",""
"","","","","","survey-text","2","2.1.0","65880","ptx5y7g8e89","hard2","swan","2170","{""participant_id"":""swan""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","74771","ptx5y7g8e89","hard2","swan","8889","a","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","75272","ptx5y7g8e89","hard2","swan","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","75775","ptx5y7g8e89","hard2","swan","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","79988","ptx5y7g8e89","hard2","swan","2208","a","stimuli/experiment1a/low_B_101.png","low","A","true"
"","","","","","html-keyboard-response","7","2.1.0","80492","ptx5y7g8e89","hard2","swan","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","8","2.1.0","80994","ptx5y7g8e89","hard2","swan","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","9","2.1.0","84204","ptx5y7g8e89","hard2","swan","1206","a","stimuli/experiment1a/low_B_111.png","low","A","true"
"","","","","","html-keyboard-response","10","2.1.0","84707","ptx5y7g8e89","hard2","swan","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","11","2.1.0","85209","ptx5y7g8e89","hard2","swan","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","12","2.1.0","88315","ptx5y7g8e89","hard2","swan","1103","a","stimuli/experiment1a/low_A_010.png","low","B","false"
"","","","","","html-keyboard-response","13","2.1.0","88818","ptx5y7g8e89","hard2","swan","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","14","2.1.0","91674","ptx5y7g8e89","hard2","swan","853","b","stimuli/experiment1a/low_A_010.png","low","B","true"
"","","","","","html-keyboard-response","15","2.1.0","92177","ptx5y7g8e89","hard2","swan","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","16","2.1.0","92680","ptx5y7g8e89","hard2","swan","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","17","2.1.0","95355","ptx5y7g8e89","hard2","swan","672","a","stimuli/experiment1a/low_B_111.png","low","A","true"
"","","","","","html-keyboard-response","18","2.1.0","95858","ptx5y7g8e89","hard2","swan","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","19","2.1.0","96360","ptx5y7g8e89","hard2","swan","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","20","2.1.0","99002","ptx5y7g8e89","hard2","swan","638","a","stimuli/experiment1a/low_B_110.png","low","A","true"
"","","","","","html-keyboard-response","21","2.1.0","99505","ptx5y7g8e89","hard2","swan","null","null","<div style=""font-size:60px;"">+</div>","","",""
