"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","125","pvn8qk7yxpo","hard","crow","","","","","",""
"true","","","","","fullscreen","1","2.1.0","1938","pvn8qk7yxpo","hard","crow","809","","","","",""
"","","","","","survey-text","2","2.1.0","3487","pvn8qk7yxpo","hard","crow","1544","{""participant_id"":""crow""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","15799","pvn8qk7yxpo","hard","crow","12310"," ","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","16302","pvn8qk7yxpo","hard","crow","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","16805","pvn8qk7yxpo","hard","crow","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","21581","pvn8qk7yxpo","hard","crow","2770","a","stimuli/experiment1a/low_B_111.png","low","B","false"
"","","","","","html-keyboard-response","7","2.1.0","22085","pvn8qk7yxpo","hard","crow","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","8","2.1.0","24780","pvn8qk7yxpo","hard","crow","691","b","stimuli/experiment1a/low_B_111.png","low","B","true"
"","","","","","html-keyboard-response","9","2.1.0","25284","pvn8qk7yxpo","hard","crow","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","10","2.1.0","25786","pvn8qk7yxpo","hard","crow","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","11","2.1.0","28868","pvn8qk7yxpo","hard","crow","1078","b","stimuli/experiment1a/low_B_101.png","low","B","true"
"","","","","","html-keyboard-response","12","2.1.0","29372","pvn8qk7yxpo","hard","crow","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","13","2.1.0","29875","pvn8qk7yxpo","hard","crow","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","14","2.1.0","33116","pvn8qk7yxpo","hard","crow","1237","b","stimuli/experiment1a/low_A_000.png","low","A","false"
"","","","","","html-keyboard-response","15","2.1.0","33619","pvn8qk7yxpo","hard","crow","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","16","2.1.0","36769","pvn8qk7yxpo","hard","crow","1145","a","stimuli/experiment1a/low_A_000.png","low","A","true"
"","","","","","html-keyboard-response","17","2.1.0","37272","pvn8qk7yxpo","hard","crow","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","18","2.1.0","37774","pvn8qk7yxpo","hard","crow","null","null","<div style=""font-size:60px;"">+</div>","","",""
