"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","86","pw1k6a14zsv","easy2","rabbit","","","","","",""
"true","","","","","fullscreen","1","2.1.0","3694","pw1k6a14zsv","easy2","rabbit","2604","","","","",""
"","","","","","survey-text","2","2.1.0","6760","pw1k6a14zsv","easy2","rabbit","3061","{""participant_id"":""rabbit""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","22133","pw1k6a14zsv","easy2","rabbit","15372"," ","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","22635","pw1k6a14zsv","easy2","rabbit","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","23138","pw1k6a14zsv","easy2","rabbit","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","28098","pw1k6a14zsv","easy2","rabbit","2954","a","stimuli/experiment1a/high_A_010.png","high","B","false"
"","","","","","html-keyboard-response","7","2.1.0","28601","pw1k6a14zsv","easy2","rabbit","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","8","2.1.0","37504","pw1k6a14zsv","easy2","rabbit","6899","a","stimuli/experiment1a/high_A_010.png","high","B","false"
"","","","","","html-keyboard-response","9","2.1.0","38007","pw1k6a14zsv","easy2","rabbit","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","10","2.1.0","42380","pw1k6a14zsv","easy2","rabbit","2368","b","stimuli/experiment1a/high_A_010.png","high","B","true"
"","","","","","html-keyboard-response","11","2.1.0","42884","pw1k6a14zsv","easy2","rabbit","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","12","2.1.0","43386","pw1k6a14zsv","easy2","rabbit","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","13","2.1.0","49605","pw1k6a14zsv","easy2","rabbit","4215","a","stimuli/experiment1a/high_A_000.png","high","B","false"
"","","","","","html-keyboard-response","14","2.1.0","50108","pw1k6a14zsv","easy2","rabbit","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","15","2.1.0","52943","pw1k6a14zsv","easy2","rabbit","831","b","stimuli/experiment1a/high_A_000.png","high","B","true"
"","","","","","html-keyboard-response","16","2.1.0","53446","pw1k6a14zsv","easy2","rabbit","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","17","2.1.0","53947","pw1k6a14zsv","easy2","rabbit","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","18","2.1.0","56988","pw1k6a14zsv","easy2","rabbit","1038","b","stimuli/experiment1a/high_B_110.png","high","A","false"
"","","","","","html-keyboard-response","19","2.1.0","57491","pw1k6a14zsv","easy2","rabbit","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","20","2.1.0","62064","pw1k6a14zsv","easy2","rabbit","2569","a","stimuli/experiment1a/high_B_110.png","high","A","true"
"","","","","","html-keyboard-response","21","2.1.0","62567","pw1k6a14zsv","easy2","rabbit","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","22","2.1.0","63069","pw1k6a14zsv","easy2","rabbit","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","23","2.1.0","66987","pw1k6a14zsv","easy2","rabbit","1914","a","stimuli/experiment1a/high_B_111.png","high","A","true"
"","","","","","html-keyboard-response","24","2.1.0","67489","pw1k6a14zsv","easy2","rabbit","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","25","2.1.0","67991","pw1k6a14zsv","easy2","rabbit","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","26","2.1.0","71029","pw1k6a14zsv","easy2","rabbit","1034","a","stimuli/experiment1a/high_B_111.png","high","A","true"
"","","","","","html-keyboard-response","27","2.1.0","71533","pw1k6a14zsv","easy2","rabbit","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","28","2.1.0","72035","pw1k6a14zsv","easy2","rabbit","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","29","2.1.0","76832","pw1k6a14zsv","easy2","rabbit","2794","a","stimuli/experiment1a/high_B_101.png","high","A","true"
"","","","","","html-keyboard-response","30","2.1.0","77336","pw1k6a14zsv","easy2","rabbit","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","31","2.1.0","77838","pw1k6a14zsv","easy2","rabbit","null","null","<div style=""font-size:60px;"">+</div>","","",""
